key,source,target
27/1/8#0,"You cannot draw on the selected 3D object.
The UV map of this object is not set up correctly.","You cannot draw on the selected 3D object.
The UV map of this object is not set up correctly."
27/1/9#0,You cannot draw on the selected 3D object as it does not have an editable texture.,You cannot draw on the selected 3D object as it does not have an editable texture.
28/1/1#0,The texture thumbnail will be shown,The texture thumbnail will be shown
29/1/1#0,Exporting cel %d of %d.,Exporting cel %d of %d.
30/1/1#0,Add/delete %s keyframe,Add/delete %s keyframe
30/1/2#0,Previous keyframe,Previous keyframe
30/1/3#0,Next keyframe,Next keyframe
31/1/1#0,Layer color,Layer color
31/1/2#0,Sub color,Sub color
31/1/3#0,Layer color,Layer color
31/1/4#0,Sub color,Sub color
31/1/5#0,Switch using layer color,Switch using layer color
32/1/1#0,Sync all pages now,Sync all pages now
33/1/1#0,"Title: Sample
A: Hi (subtitle: Hi) (simultaneous)
A: (bows)
(wait 1 second)
A: Enter the script here (subtitle: Enter the script here)","Title: Sample
A: Hi (subtitle: Hi) (simultaneous)
A: (bows)
(wait 1 second)
A: Enter the script here (subtitle: Enter the script here)"
33/1/2#0,Enter script,Enter script
33/1/3#0,Delete script,Delete script
33/1/4#0,Change script settings,Change script settings
34/1/1#0,○,○
34/1/2#0,●,●
34/1/3#0, (TBD), (TBD)
35/1/1#0,Convert to transformable layer,Convert to transformable layer
35/1/2#0,Change assigned cel,Change assigned cel
35/1/3#0,Change start frame,Change start frame
35/1/4#0,Change end frame,Change end frame
35/1/5#0,Move clip,Move clip
35/1/6#0,Change clip size,Change clip size
35/1/7#0,Change clip scale,Change clip scale
35/1/8#0,Move keyframe,Move keyframe
35/1/9#0,Duplicate keyframe,Duplicate keyframe
35/1/10#0,Create inbetween track label “○”,Create inbetween track label “○”
35/1/11#0,Create inbetween track label “●”,Create inbetween track label “●”
35/1/12#0,Create label,Create label
35/1/13#0,Move label,Move label
35/1/14#0,Resize label,Resize label
35/1/15#0,Rename label,Rename label
35/1/16#0,Delete track label,Delete track label
35/1/17#0,Duplicate label,Duplicate label
35/1/18#0,Move keyframe and label,Move keyframe and label
35/1/19#0,Duplicate keyframe and label,Duplicate keyframe and label
35/1/20#0,"The existing keyframe and assigned cel will be overwritten.
Do you want to continue?","The existing keyframe and assigned cel will be overwritten.
Do you want to continue?"
35/1/21#0,"The existing track label will be overwritten.
Do you want to continue?","The existing track label will be overwritten.
Do you want to continue?"
35/1/22#0,"The existing keyframe, assigned cel, and track label will be overwritten.
Do you want to continue?","The existing keyframe, assigned cel, and track label will be overwritten.
Do you want to continue?"
36/1/5#0,C- + Scenes + Shots,C- + Scenes + Shots
36/1/6#0,Scenes + Shots,Scenes + Shots
36/1/7#0,Number of stories + Scenes + Shots,Number of stories + Scenes + Shots
36/1/8#0,Story name + Number of stories + Scenes + Shots,Story name + Number of stories + Scenes + Shots
37/1/1#0,You are about to quit playback. Do you want to proceed?,You are about to quit playback. Do you want to proceed?
37/1/2#0,The previous movie playback results will be lost. Do you want to proceed?,The previous movie playback results will be lost. Do you want to proceed?
37/1/3#0,Rendering playback range.,Rendering playback range.
38/1/1#0,Edit timeline,Edit timeline
38/1/2#0,Edit timeline,Edit timeline
38/1/3#0,Edit timeline,Edit timeline
38/1/4#0,Edit timeline,Edit timeline
38/1/6#0,Select type of operation for clicking canvas,Select type of operation for clicking canvas
38/1/10#0,Select type of operation for drag,Select type of operation for drag
38/1/12#0,"Left for previous, right for next","Left for previous, right for next"
39/1/1#0,The file format of the Digital Exposure Sheet file is not correct.,The file format of the Digital Exposure Sheet file is not correct.
39/1/2#0,"One or more animation folders are locked, so changes could not be loaded.","One or more animation folders are locked, so changes could not be loaded."
