source,target
Make background color transparent,Сделать цвет фона прозрачным
Show shadow,Показывать тень
Select export folder.,Выберите папку экспорта.
Could not find the specified folder.,Не удалось найти указанную папку.
Please enter file name.,Введите имя файла.
A file with the same name as the folder already exists.,"Файл с таким же именем, как у папки, уже существует."
"Files with the same name as the export files already exist in the export folder.
These files will be overwritten. Do you want to proceed?","В папке экспорта уже есть файлы с такими же именами, как у экспортируемых.
Эти файлы будут перезаписаны. Продолжить?"
A folder with the same name already exists. Would you like to save the file to the existing folder?,Папка с таким же именем уже существует. Сохранить файл в существующую папку?
You cannot save images with a height or width of more than %d px in this format.,В этом формате нельзя сохранять изображения с высотой или шириной более %d пикс.
"Due to the file name settings, some file names may exceed %d characters: 

%s
(%d characters)

If you continue, the file may not be exported due to system restrictions. 
We recommend you rename with a shorter name.
Do you want to continue exporting anyway?","Из-за настроек имени файла некоторые имена могут превысить %d символов: 

%s
(%d символов)

Если продолжить, файл может не экспортироваться из-за системных ограничений. 
Рекомендуем переименовать с более коротким именем.
Всё равно продолжить экспорт?"
Custom,Пользовательский
"The output size of  %d by %d  px registered for this preset cannot be applied due to the aspect ratio of the current canvas.
The output size will be set to %d by%dpx.","Размер вывода %d на %d пикс., зарегистрированный для этого набора настроек, нельзя применить из-за соотношения сторон текущего холста.
Размер вывода будет установлен на %d на %d пикс."
BMP settings,Настройки BMP
JPEG settings,Настройки JPEG
PNG settings,Настройки PNG
TGA settings,Настройки TGA
WebP Settings ,Настройки WebP 
8 bit,8 бит
16 bit,16 бит
24 bit,24 бита
32 bit,32 бита
Color depth,Глубина цвета
Filter,Фильтр
None,Нет
Parse,Разобрать
Confirm,Подтвердить
Discard,Отклонить
Back,Назад
Rename preset,Переименовать набор настроек
Confirm edit?,Подтвердить изменение?
"Preset with the same name already exist.
Overwrite?","Набор настроек с таким именем уже существует.
Перезаписать?"
"“%s“ cannot be registered.
Please enter a different preset name.","«%s» нельзя зарегистрировать.
Введите другое имя набора настроек."
Save,Сохранить
Change name,Изменить имя
Apply to all models,Применить ко всем моделям
Save as default,Сохранить по умолчанию
Reset to default,Сбросить по умолчанию
Import,Импортировать
Physical settings,Физические настройки
Set selected models,Задать выбранные модели
Skirt,Юбка
Gravity,Гравитация
Activeness,Активность
Bending spring,Пружина изгиба
Bend toes automatically,Сгибать пальцы ног автоматически
3D layer settings,Настройки 3D-слоя
Physical operation,Физическая операция
Skirt only,Только юбка
Physical operation for skirt only,Физическая операция только для юбки
Ground height,Высота земли
During dragging and playback,При перетаскивании и воспроизведении
During playback only,Только при воспроизведении
Do not use physical operation,Не использовать физическую операцию
Rendering settings,Настройки рендеринга
Outline,Контур
Add outline,Добавить контур
Opacity,Непрозрачность
Offset amount,Величина смещения
Color,Цвет
Method,Метод
Lighting,Освещение
Rendering Method,Метод рендеринга
 , 
Apply light source,Применить источник света
Cast shadows,Отбрасывать тени
Texture,Texture
Use texture,Использовать текстуру
Alpha test,Альфа-тест
Backface culling,Отсечение задних граней
Clipping planes,Плоскости отсечения
Set automatically when resetting camera,Задавать автоматически при сбросе камеры
Near plane,Ближняя плоскость
Far plane,Дальняя плоскость
Shadows follow light source,Тени следуют за источником света
Ver. 1.11.4 or earlier,Ver. 1.11.4 или раньше
Ver. 1.12.3 or earlier,Ver. 1.12.3 или раньше
Polygon,Многоугольник
Line,Линия
Connect polygons,Соединить полигоны
Gouraud,Гуро
Phong,Фонг
Realistic,Реалистичный
Toon,Мультяшный
Character,Character
Toon shading,Мультяшное затенение
Summer sunlight,Летний солнечный свет
Linear,Линейный
Mipmap,MIP-карта
Alpha threshold,Порог альфа-канала
Cast shadows down,Отбрасывать тени вниз
Follow light source,Следовать за источником света
Normal,Обычный
Select layer,Выбрать слой
Enter layer name,Введите имя слоя
Audio export settings,Настройки экспорта аудио
Export frame settings,Настройки экспорта кадров
Audio settings,Настройки аудио
Quality settings,Настройки качества
Attributes,Атрибуты
PCM ,PCM 
Configure audio settings.,Настройте параметры аудио.
Script name,Имя сценария
Duplicate script,Дублировать сценарий
(Frame),(Кадр)
(Seconds + frames),(Секунды + кадры)
(Minutes:seconds:frames),(Минуты:секунды:кадры)
Start frame,Начальный кадр
End frame,Конечный кадр
Current frame,Текущий кадр
Playback speed,Скорость воспроизведения
%0.1f fps,%0.1f кадр/с
Hold,Удерживать
Smooth,Сглаживание
Keyframe interpolation,Интерполяция ключевых кадров
Zoom In,Приблизить
Zoom Out,Отдалить
Create keyframe: Hold interpolation,Создать ключевой кадр: интерполяция с удержанием
Create keyframe: Linear interpolation,Создать ключевой кадр: линейная интерполяция
Create keyframe: Smooth interpolation,Создать ключевой кадр: плавная интерполяция
Duplicate timeline,Дублировать шкалу времени
Change frame rate,Изменить частоту кадров
Frame settings,Настройки кадров
Shot information,Сведения о кадре
Timeline name,Имя шкалы времени
Change total number of frames,Изменить общее число кадров
Playback time,Время воспроизведения
Scene number,Номер сцены
Shot number,Номер кадра
Set timeline name automatically,Задавать имя шкалы времени автоматически
Drop frame,Пропуск кадров
Playback method,Метод воспроизведения
Division line,Линия деления
Image interpolation,Интерполяция изображения
How to show frames,Способ показа кадров
Frame number (from 0),Номер кадра (с 0)
Frame number (from 1),Номер кадра (с 1)
Seconds + frame,Секунды + кадр
Time code,Тайм-код
1-frame units (for movies),Единицы в 1 кадр (для видео)
Use decimal values (for 3D motions),Использовать десятичные значения (для 3D-движений)
Smooth edges (bilinear),Сгладить края (билинейная)
Hard edges (nearest neighbor),Жёсткие края (ближайший сосед)
Clear edges (bicubic),Чёткие края (бикубическая)
High accuracy (average colors),Высокая точность (усреднение цветов)
 fps, кадр/с
Please enter the timeline name.,Введите имя шкалы времени.
Set the end frame value so that it is higher than the start frame value.,Задайте значение конечного кадра больше значения начального кадра.
The start and end frame values cannot be changed.,Значения начального и конечного кадров нельзя изменить.
The value exceeds the range that can be set for the timeline.,"Значение превышает диапазон, который можно задать для шкалы времени."
 %d seconds + %d frames, %d секунд + %d кадров
%0.1f seconds,%0.1f секунд
%d (%ds),%d (%dс)
"The animation folder composition for this canvas does not match the Digital Exposure Sheet file.
 Please choose from the following options to manage the animation folders in this document. 
The Digital Exposure Sheet information will not be affected.","Состав папок анимации для этого холста не соответствует файлу Digital Exposure Sheet.
 Выберите один из следующих вариантов для управления папками анимации в этом документе. 
Сведения Digital Exposure Sheet не будут затронуты."
Import Toei Digital Exposure Sheet,Импортировать цифровой экспозиционный лист Toei
Deletes the selected animation folder,Удаляет выбранную папку анимации
Hides the selected animation folder,Скрывает выбранную папку анимации
Ignore,Игнорировать
"There are cels below the selected folder, so you cannot choose this option.","Под выбранной папкой есть фазы, поэтому этот вариант выбрать нельзя."
"The selected folder is locked, so you cannot choose this option.","Выбранная папка заблокирована, поэтому этот вариант выбрать нельзя."
"The selected 2D camera folder has keyframes, so you cannot choose this option.","В выбранной папке 2D-камеры есть ключевые кадры, поэтому этот вариант выбрать нельзя."
Select from List,Выбрать из списка
Preset name,Имя набора настроек
Items to be included in preset,Элементы для включения в набор настроек
Please enter preset name.,Введите имя набора настроек.
Create timeline label,Создать метку шкалы времени
Create track label,Создать метку дорожки
Label name,Имя метки
Range,Диапазон
Frame ,Кадр 
Please enter name.,Введите имя.
A label with the same name already exists.,Метка с таким же именем уже существует.
Go to timeline label,Перейти к метке шкалы времени
The label cannot be moved as it is not in the playback range.,"Метку нельзя переместить, так как она вне диапазона воспроизведения."
Go to specified frame,Перейти к указанному кадру
Frame number,Номер кадра
A,А
I,И
U,U
E,E
O,O
Blink,Моргание
Left blink,Моргание левым глазом
Right blink,Моргание правым глазом
Happy,Радость
Angry,Злость
Sad,Грустный
Relaxed,Расслабленная
Surprised,Удивление
Look up,Взгляд вверх
Look down,Взгляд вниз
Look left,Взгляд влево
Look right,Взгляд вправо
Overweight,Полный
Slim,Стройность
Sensual,Чувственный
Kid,Ребёнок
Head length,Длина головы
Head width,Ширина головы
Neck length,Длина шеи
Neck width,Ширина шеи
Torso length,Длина туловища
Torso width,Ширина туловища
Arm length,Длина руки
Arm width,Ширина руки
Leg length,Длина ноги
Leg width,Ширина ноги
Hand length,Длина кисти
Hand width,Ширина кисти
Foot length,Длина стопы
Foot width,Ширина стопы
Shoulder width,Ширина плеч
Waist width,Ширина талии
Rugged,
Slender,
Cartoon,
Boney,
Plump,
Delicate,
Limit hand mixer,
Limit the hand mixer so the model does not distort,
Reset the hand mixer to the basic hand,
All fingers,
Thumb,
Index finger,
Middle finger,
Ring finger,
Pinky finger,
Palm,
Wrist,
Finger length,
Finger thickness,
Fingertip taper,
Nail length,
Nail width,
Nail shape,
Palm width,
Palm height,
Palm thickness,
Hand veins,
Vein prominence,
Show wristbone,
Wrist width,
Reset selected parameters,
Cartoon - soft,Мультфильм — мягкий
Anime - soft,Аниме — мягкий
Realistic - soft,Реалистичный — мягкий
Chibi,Чиби
Skeletal,Скелет
Cartoon - sharp,Мультфильм — чёткий
Anime - sharp,Аниме — чёткий
Realistic - sharp,Реалистичный — чёткий
Base,Основа
Face Mixer,Микшер лица
Limit face mixer,Ограничить микшер лица
Limit the face mixer so that features are not distorted,"Ограничить микшер лица, чтобы черты не искажались"
Reset the face mixer to the basic face,Сбросить микшер лица к базовому лицу
Reset,Сбросить
Reset the current facial feature sliders,Сбросить текущие ползунки черт лица
Left,Слева
Right,Вправо
Symmetry,Симметрия
Eyes,Глаза
Brows,Брови
Nose,Нос
Mouth,Рот
Ears,Уши
Neck,Шея
Head,Head
Direction,Направление
Size (W),Размер (Ш)
Size (H),Размер (В)
Slant,Наклон
Depth,Глубина
Rotation,Поворот
Tilt,Наклон
Protrusion,Выступ
Position,Положение
Nose tip tilt,Наклон кончика носа
Nose bridge depth,Глубина переносицы
Angle,Угол
Fullness,Полнота
Offset,Смещение
Forward/back,Вперёд/назад
Flare,Расширение
Thickness,Толщина
Length,Длина
Side tilt,Боковой наклон
Circumference,Обхват
(Active),(Используется)
Change the object visibility,Изменить видимость объекта
Lock/unlock the object,Заблокировать/разблокировать объект
Change whether the object is selectable,"Изменить, можно ли выбирать объект"
"This tool can only be used for the following: 
-Raster layers
-Selection layers
-Layer masks 
To convert to a raster layer, select [Layer] menu > [Rasterize].","Этот инструмент можно использовать только для следующего: 
- растровые слои
- слои выделения
- маски слоя 
Чтобы преобразовать в растровый слой, выберите меню [Слой] > [Растрировать]."
You cannot use this tool on the current layer.,Этот инструмент нельзя использовать на текущем слое.
"Some layers were not processed.
This tool can only be used for the following: 
- Raster layers
- Selection layers
- Layer masks 
To change to a raster layer, select [Layer] menu > [Rasterize].","Некоторые слои не были обработаны.
Этот инструмент можно использовать только для следующего: 
- растровые слои
- слои выделения
- маски слоя 
Чтобы преобразовать в растровый слой, выберите меню [Слой] > [Растрировать]."
"You cannot draw on the selected 3D object.
Please switch to the Object tool and select only one 3D primitive or 3D drawing figure (Ver.2), or 3D object.",
"You cannot draw on the selected 3D primitive.
Please switch to the Object tool, and in the Advanced Tool Settings palette’s Texture Settings tab, set the position to 0 and the scale ratio to 100.",
"You cannot draw on the selected 3D object.
Please switch to the Object tool, and in the Advanced Tool Settings palette’s Preferences tab, open the Rendering Settings and turn on “Use texture”.",
"You cannot draw on the selected 3D object.
Please switch to the Object tool and check the layer visibility and layer lock settings.",
"You cannot draw on the selected 3D object.
The UV map of this object is not set up correctly.",
You cannot draw on the selected 3D object as it does not have an editable texture.,
The texture thumbnail will be shown,Будет показан эскиз текстуры
Exporting cel %d of %d.,Экспорт фазы %d из %d.
Add/delete %s keyframe,Добавить/удалить ключевой кадр %s
Previous keyframe,Предыдущий ключевой кадр
Next keyframe,Следующий ключевой кадр
Layer color,Цвет слоя
Sub color,Дополнительный цвет
Switch using layer color,Переключить использование цвета слоя
Sync all pages now,Синхронизировать все страницы сейчас
"Title: Sample
A: Hi (subtitle: Hi) (simultaneous)
A: (bows)
(wait 1 second)
A: Enter the script here (subtitle: Enter the script here)","Название: Пример
A: Привет (субтитры: Привет) (одновременно)
A: (кланяется)
(ожидание 1 секунда)
A: Введите сценарий здесь (субтитры: Введите сценарий здесь)"
Enter script,Ввести сценарий
Delete script,Удалить сценарий
Change script settings,Изменить настройки сценария
○,○
●,●
 (TBD), (не определено)
Convert to transformable layer,Преобразовать в трансформируемый слой
Change assigned cel,Изменить назначенную фазу
Change start frame,Изменить начальный кадр
Change end frame,Изменить конечный кадр
Move clip,Переместить клип
Change clip size,Изменить размер клипа
Change clip scale,Изменить масштаб клипа
Move keyframe,Переместить ключевой кадр
Duplicate keyframe,Дублировать ключевой кадр
Create inbetween track label “○”,Создать промежуточную метку дорожки “○”
Create inbetween track label “●”,Создать промежуточную метку дорожки “●”
Create label,Создать метку
Move label,Переместить метку
Resize label,Изменить размер метки
Rename label,Переименовать метку
Delete track label,Удалить метку дорожки
Duplicate label,Дублировать метку
Move keyframe and label,Переместить ключевой кадр и метку
Duplicate keyframe and label,Дублировать ключевой кадр и метку
"The existing keyframe and assigned cel will be overwritten.
Do you want to continue?","Существующий ключевой кадр и назначенная фаза будут перезаписаны.
Продолжить?"
"The existing track label will be overwritten.
Do you want to continue?","Существующая метка дорожки будет перезаписана.
Продолжить?"
"The existing keyframe, assigned cel, and track label will be overwritten.
Do you want to continue?","Существующий ключевой кадр, назначенная фаза и метка дорожки будут перезаписаны.
Продолжить?"
C- + Scenes + Shots,C- + сцены + кадры
Scenes + Shots,Сцены + кадры
Number of stories + Scenes + Shots,Число историй + сцены + кадры
Story name + Number of stories + Scenes + Shots,Имя истории + число историй + сцены + кадры
You are about to quit playback. Do you want to proceed?,Вы собираетесь завершить воспроизведение. Продолжить?
The previous movie playback results will be lost. Do you want to proceed?,Предыдущие результаты воспроизведения видео будут потеряны. Продолжить?
Rendering playback range.,Рендеринг диапазона воспроизведения.
Edit timeline,Редактировать шкалу времени
Click,Щёлкните
Select type of operation for clicking canvas,Выберите тип операции при щелчке по холсту
Next,Далее
Drag,Перетаскивание
Select type of operation for drag,Выберите тип операции при перетаскивании
"Left for previous, right for next","Влево — предыдущий, вправо — следующий"
The file format of the Digital Exposure Sheet file is not correct.,Неверный формат файла цифрового экспозиционного листа.
"One or more animation folders are locked, so changes could not be loaded.","Одна или несколько папок анимации заблокированы, поэтому изменения не удалось загрузить."
"You cannot edit the selected 3D object.
Please switch to the Object tool and select only one 3D Primitive or 3D drawing figure (Ver.2).","Вы не можете редактировать выбранный 3D-объект.
Пожалуйста, переключитесь на инструмент «Объект» и выберите только один 3D-примитив или 3D-фигуру (Версия 2)."
"You cannot edit the selected 3D primitive.
Please switch to the Object tool, and in the Sub Tool Detail palette’s Texture Settings tab, set the position to 0 and the scale ratio to 100.","Вы не можете редактировать выбранный 3D-примитив.
Переключитесь на инструмент «Объект» и на вкладке «Настройки текстуры» палитры «Детали вспомогательного инструмента» установите положение на 0 и коэффициент масштабирования на 100."
"You cannot edit the selected 3D object.
Please switch to the Object tool, and in the Sub Tool Detail palette’s Preferences tab, open the Rendering Settings and turn on “Use texture”.","Вы не можете редактировать выбранный 3D-объект.
Переключитесь на инструмент «Объект» и на вкладке «Настройки» палитры «Детали вспомогательного инструмента» откройте «Настройки рендеринга» и включите «Использовать текстуру»."
"You cannot edit the selected 3D object.
Please switch to the Object tool and check the layer visibility and layer lock settings.","Вы не можете редактировать выбранный 3D-объект.
Пожалуйста, переключитесь на инструмент «Объект» и проверьте настройки видимости слоя и блокировки слоя."
Make background transparent,Сделать фон прозрачным
Export alpha channel,Экспортировать альфа-канал
