key,source,target
3/1/34#0,Creative Commons CC BY license,Creative Commons CC BY license
3/1/35#0,Creative Commons CC BY-NC license,Creative Commons CC BY-NC license
3/1/36#0,Creative Commons CC BY-SA license,Creative Commons CC BY-SA license
3/1/37#0,Creative Commons CC BY-NC-SA license,Creative Commons CC BY-NC-SA license
3/1/38#0,Creative Commons CC BY-ND license,Creative Commons CC BY-ND license
3/1/39#0,Creative Commons CC BY-NC-ND license,Creative Commons CC BY-NC-ND license
3/1/41#0,Other license conditions for redistribution/adaptation,Other license conditions for redistribution/adaptation
3/1/45#0,Copyright owner,Copyright owner
3/1/46#0,Contact information for the author (representative),Contact information for the author (representative)
3/1/47#0,Information for original/related works if applicable,Information for original/related works if applicable
3/1/48#0,Third-party license display,Third-party license display
3/1/49#0,URL to license text,URL to license text
3/1/50#0,User who can manipulate this avatar,User who can manipulate this avatar
3/1/52#0,Only Author,Only Author
3/1/53#0,Explicitly Licensed Person,Explicitly Licensed Person
3/1/57#0,Permission to use for excessively violent expressions,Permission to use for excessively violent expressions
3/1/58#0,Permission to use for excessively sexual expressions,Permission to use for excessively sexual expressions
3/1/59#0,Permission to use for religious expressions or political expressions,Permission to use for religious expressions or political expressions
3/1/60#0,Permission to use for antisocial expressions or hate expressions,Permission to use for antisocial expressions or hate expressions
3/1/61#0,Permission to Redistribute,Permission to Redistribute
3/1/62#0,Permission for Commercial Use,Permission for Commercial Use
3/1/64#0,Only permitted for individual non-commercial use,Only permitted for individual non-commercial use
3/1/65#0,Permitted for individual commercial or non-commercial use,Permitted for individual commercial or non-commercial use
3/1/66#0,Permitted for all individual and corporate users,Permitted for all individual and corporate users
3/1/67#0,Credit Attribution,Credit Attribution
3/1/70#0,Not required,Not required
3/1/71#0,Permission for Adaptation and Redistribution of Adaptations,Permission for Adaptation and Redistribution of Adaptations
3/1/73#0,Not permitted,Not permitted
3/1/74#0,Allow adaptation only,Allow adaptation only
3/1/75#0,Allow adaptation and redistribution of adaptations,Allow adaptation and redistribution of adaptations
3/1/76#0,URL for other license conditions,URL for other license conditions
4/1/46#0,Auto Action,Auto Action
4/1/5#0,Add auto action,Add auto action
4/1/7#0,Delete auto action,Delete auto action
4/1/9#0,Change auto action,Change auto action
4/1/11#0,Duplicate auto action,Duplicate auto action
4/1/13#0,Move Auto Action to a different set,Move Auto Action to a different set
4/1/15#0,Copy Auto Action to a different set,Copy Auto Action to a different set
4/1/17#0,Delete command,Delete command
4/1/19#0,Duplicate command,Duplicate command
4/1/47#0,Create new set,Create new set
4/1/21#0,Edit set,Edit set
4/1/23#0,Switch the set,Switch the set
4/1/25#0,Start to record auto action,Start to record auto action
4/1/27#0,Play auto action,Play auto action
4/1/48#0,Loop play,Loop play
4/1/29#0,Export set,Export set
4/1/31#0,Import set,Import set
4/1/33#0,Register set as material,Register set as material
4/1/35#0,Add auto action set,Add auto action set
4/1/36#0,Auto-install downloaded materials,Auto-install downloaded materials
4/1/49#0,Playback settings,Playback settings
4/1/3#0,Button mode,Button mode
4/1/37#0,Show the action setting bar,Show the action setting bar
4/1/38#0,Show command bar,Show command bar
4/1/50#0,Auto action %d,Auto action %d
4/1/51#0,New auto action set %d,New auto action set %d
4/1/52#0,Copy of %s,Copy of %s
4/1/53#0,Add auto action set,Add auto action set
4/1/45#0,Delete selected auto action,Delete selected auto action
4/1/44#0,Add new auto action to current auto action,Add new auto action to current auto action
4/1/39#0,Switch action set to use,Switch action set to use
4/1/42#0,Start to record auto action,Start to record auto action
4/1/54#0,Stop to record auto action,Stop to record auto action
4/1/43#0,Start to play auto action,Start to play auto action
4/1/55#0,Stop to play auto action,Stop to play auto action
4/1/40#0,Create new auto action set,Create new auto action set
4/1/41#0,Add auto action set,Add auto action set
4/1/56#0,Are you sure you want to delete %s?,Are you sure you want to delete %s?
4/1/57#0,Are you sure you want to delete these %d items?,Are you sure you want to delete these %d items?
4/1/58#0,Loop play auto action without continue confirmation. Press Esc key to stop.,Loop play auto action without continue confirmation. Press Esc key to stop.
4/1/59#0,Register to auto action palette.,Register to auto action palette.
4/1/60#0,You cannot import Auto Action files in Clip Studio Paint Debut.,You cannot import Auto Action files in Clip Studio Paint Debut.
4/1/61#0,"This Auto Action includes “Brush type” settings for the line extraction.
If used on a different device or version, the “Brush type” setting may not be applied.
Do you want to continue exporting the Auto Action set?","This Auto Action includes “Brush type” settings for the line extraction.
If used on a different device or version, the “Brush type” setting may not be applied.
Do you want to continue exporting the Auto Action set?"
4/1/62#0,"This Auto Action includes “Brush type” settings for the line extraction.
If used on a different device or version, the “Brush type” setting may not be applied.
Do you want to continue registering this Auto Action set as a material?","This Auto Action includes “Brush type” settings for the line extraction.
If used on a different device or version, the “Brush type” setting may not be applied.
Do you want to continue registering this Auto Action set as a material?"
4/1/63#0,All supported formats|*.laf|auto action set file|*.laf,All supported formats|*.laf|auto action set file|*.laf
4/1/64#0,Auto action set file|*.laf,Auto action set file|*.laf
4/1/66#0,Search for auto actions on ASSETS,Search for auto actions on ASSETS
4/1/67#0,Add palette,Add palette
4/1/68#0,Materials not added to palette,Materials not added to palette
5/1/2#0,Set name,Set name
5/1/7#0,Waiting time,Waiting time
5/1/8#0,Confirm continuation of loop play,Confirm continuation of loop play
7/1/13#0,Edit set,Edit set
7/1/6#0,Create new set,Create new set
7/1/8#0,Duplicate set,Duplicate set
7/1/10#0,Delete set,Delete set
7/1/12#0,Rename set,Rename set
8/1/9#0,Add from default,Add from default
8/1/10#0, (Ver %s), (Ver %s)
9/1/6#0,Add group from default,Add group from default
10/1/9#0,Air Action Settings,Air Action Settings
10/1/10#0,Do you want to revert Air Action settings to their original defaults?,Do you want to revert Air Action settings to their original defaults?
10/1/7#0,"You can customize your Air Action settings.
Please check below for details.","You can customize your Air Action settings.
Please check below for details."
10/1/11#0,How to check Air Actions,How to check Air Actions
11/1/9#0,Edit preset,Edit preset
11/1/8#0,Rename preset,Rename preset
11/1/14#0,Confirm edit?,Confirm edit?
11/1/15#0,"Preset with the same name already exist.
Overwrite?","Preset with the same name already exist.
Overwrite?"
11/1/16#0,"“%s“ cannot be registered.
Please enter a different preset name.","“%s“ cannot be registered.
Please enter a different preset name."
11/1/18#0,Change name,Change name
12/1/39#0,Onion skin settings,Onion skin settings
12/1/4#0,Number of skins,Number of skins
12/1/6#0,Previous frame,Previous frame
12/1/12#0,Next frame,Next frame
12/1/17#0,View Settings,View Settings
12/1/18#0,Color mode,Color mode
12/1/41#0,Half color,Half color
12/1/21#0,Previous frame,Previous frame
12/1/24#0,Next frame,Next frame
12/1/27#0,Specify opacity level,Specify opacity level
12/1/35#0,Step opacity,Step opacity
