idx	offset	kind	byte_len	text
396	44687	key	6	PWView
397	44995	key	12	PWPushButton
398	45027	key	12	PWPushButton
399	45133	key	6	PWView
400	45437	key	12	PWPushButton
401	45469	key	12	PWPushButton
402	45575	key	6	PWView
403	45985	text	8	Edit set
404	45997	key	2	OK
405	46003	key	6	Cancel
406	46013	text	14	Create new set
407	46031	text	13	Duplicate set
408	46048	text	10	Delete set
409	46062	text	10	Rename set
410	46166	key	6	PWView
411	46192	key	6	PWView
412	46317	key	1	r
413	46367	key	1	*
414	46508	key	6	PWView
415	46534	key	6	PWView
416	46806	key	12	PWPushButton
417	46838	key	12	PWPushButton
418	46954	key	6	PWView
419	47234	key	12	PWPushButton
420	47266	key	12	PWPushButton
421	47382	key	6	PWView
422	47662	key	12	PWPushButton
423	47694	key	12	PWPushButton
424	47770	key	6	PWView
425	48078	key	12	PWPushButton
426	48110	key	12	PWPushButton
427	48186	key	6	PWView
428	48494	key	12	PWPushButton
429	48526	key	12	PWPushButton
430	48602	key	6	PWView
431	48910	key	12	PWPushButton
432	48942	key	12	PWPushButton
433	49018	key	6	PWView
434	49376	key	3	2.0
435	49383	text	16	Add from default
436	49403	key	5	Close
437	49412	key	3	Add
438	49419	text	9	 (Ver %s)
439	49522	key	6	PWView
440	49548	key	6	PWView
441	49673	key	1	^
442	49834	key	12	PWPushButton
443	49866	key	12	PWPushButton
444	49982	key	6	PWView
445	50266	key	12	PWPushButton
446	50298	key	12	PWPushButton
447	50374	key	6	PWView
448	50607	key	1	*
449	50682	key	6	PWView
450	50708	key	6	PWView
451	50905	key	1	*
452	50980	key	6	PWView
453	51006	key	6	PWView
454	51304	text	22	Add group from default
455	51330	key	2	OK
456	51336	key	6	Cancel
457	51436	key	6	PWView
458	51462	key	6	PWView
459	51587	key	1	^
460	51738	key	12	PWPushButton
461	51770	key	12	PWPushButton
462	51886	key	6	PWView
463	52170	key	12	PWPushButton
464	52202	key	12	PWPushButton
465	52318	key	6	PWView
466	52523	key	1	*
467	52598	key	6	PWView
468	52624	key	6	PWView
469	52970	text	19	Air Action Settings
470	52993	key	2	OK
471	52999	key	6	Cancel
472	53009	key	5	Reset
473	53018	text	69	Do you want to revert Air Action settings to their original defaults?
474	53171	text	24	How to check Air Actions
475	53289	key	6	PWView
476	53315	key	6	PWView
477	53631	key	12	PWPushButton
478	53663	key	12	PWPushButton
479	53779	key	6	PWView
480	54059	key	12	PWPushButton
481	54091	key	12	PWPushButton
482	54207	key	6	PWView
483	54487	key	12	PWPushButton
484	54519	key	12	PWPushButton
485	54595	key	6	PWView
486	54796	key	1	*
487	54871	key	6	PWView
488	54897	key	6	PWView
489	55094	key	1	|
490	55169	key	12	PWStaticIcon
491	55201	key	12	PWStaticIcon
492	55277	key	6	PWView
493	55549	key	12	PWStaticText
494	55581	key	12	PWStaticText
495	55667	key	6	PWView
496	55872	key	1	*
497	55947	key	6	PWView
498	55973	key	6	PWView
499	56403	text	11	Edit preset
500	56418	key	2	OK
501	56424	key	6	Cancel
502	56434	key	7	Confirm
503	56445	key	7	Discard
504	56456	key	4	Back
505	56464	key	6	Delete
506	56474	text	13	Rename preset
507	56491	key	6	Custom
508	56501	text	13	Confirm edit?
509	56647	key	4	Save
510	56655	text	11	Change name
511	56760	key	6	PWView
512	56786	key	6	PWView
513	56911	key	1	r
514	56961	key	1	*
515	57082	key	6	PWView
516	57108	key	6	PWView
517	57380	key	12	PWPushButton
518	57412	key	12	PWPushButton
519	57528	key	6	PWView
520	57808	key	12	PWPushButton
521	57840	key	12	PWPushButton
522	57956	key	6	PWView
523	58236	key	12	PWPushButton
524	58268	key	12	PWPushButton
525	58344	key	6	PWView
526	58652	key	12	PWPushButton
527	58684	key	12	PWPushButton
528	58760	key	6	PWView
529	59274	text	19	Onion skin settings
530	59297	key	2	OK
531	59303	key	6	Cancel
532	59313	text	15	Number of skins
533	59332	text	14	Previous frame
534	59350	text	10	Next frame
535	59364	key	4	cels
536	59372	text	13	View Settings
537	59389	text	10	Color mode
538	59403	key	5	Color
539	59412	text	10	Half color
540	59426	key	10	Monochrome
541	59440	text	14	Previous frame
542	59458	text	10	Next frame
543	59472	text	21	Specify opacity level
544	59497	key	5	Start
545	59506	text	12	Step opacity
546	59522	key	1	%
547	59617	key	6	PWView
548	59643	key	6	PWView
549	60159	key	12	PWPushButton
550	60191	key	12	PWPushButton
551	60307	key	6	PWView
552	60587	key	12	PWPushButton
553	60619	key	12	PWPushButton
554	60735	key	6	PWView
555	60940	key	1	n
556	61015	key	10	PWGroupBox
557	61045	key	10	PWGroupBox
558	61109	key	6	PWView
559	61381	key	12	PWStaticText
560	61413	key	12	PWStaticText
561	61509	key	6	PWView
562	61825	key	9	PWEditBox
563	61854	key	9	PWEditBox
564	61907	key	6	PWView
565	62211	key	19	PWPopupSliderButton
566	62250	key	19	PWPopupSliderButton
567	62353	key	6	PWView
568	62673	key	12	PWStaticText
569	62705	key	12	PWStaticText
570	62781	key	6	PWView
571	63061	key	12	PWStaticText
572	63093	key	12	PWStaticText
573	63189	key	6	PWView
574	63505	key	9	PWEditBox
575	63534	key	9	PWEditBox
576	63587	key	6	PWView
577	63891	key	19	PWPopupSliderButton
578	63930	key	19	PWPopupSliderButton
579	64033	key	6	PWView
580	64353	key	12	PWStaticText
581	64385	key	12	PWStaticText
582	64461	key	6	PWView
583	64666	key	1	r
584	64741	key	10	PWGroupBox
585	64771	key	10	PWGroupBox
586	64835	key	6	PWView
587	65111	key	12	PWStaticText
588	65143	key	12	PWStaticText
589	65239	key	6	PWView
590	65551	key	13	PWPopupButton
591	65584	key	13	PWPopupButton
592	65671	key	6	PWView
593	66027	key	12	PWStaticText
594	66059	key	12	PWStaticText
595	66155	key	6	PWView
596	66471	key	13	PWColorButton
597	66504	key	13	PWColorButton
598	66561	key	6	PWView
599	66865	key	12	PWStaticText
600	66897	key	12	PWStaticText
601	66993	key	6	PWView
602	67309	key	13	PWColorButton
603	67342	key	13	PWColorButton
604	67399	key	6	PWView
605	67703	key	10	PWCheckBox
606	67733	key	10	PWCheckBox
607	67807	key	6	PWView
608	68115	key	12	PWStaticText
609	68147	key	12	PWStaticText
610	68243	key	6	PWView
611	68559	key	9	PWEditBox
612	68588	key	9	PWEditBox
613	68641	key	6	PWView
614	68945	key	19	PWPopupSliderButton
615	68984	key	19	PWPopupSliderButton
616	69087	key	6	PWView
617	69407	key	12	PWStaticText
618	69439	key	12	PWStaticText
619	69515	key	6	PWView
620	69795	key	12	PWStaticText
621	69827	key	12	PWStaticText
622	69923	key	6	PWView
623	70239	key	9	PWEditBox
624	70268	key	9	PWEditBox
625	70321	key	6	PWView
626	70625	key	19	PWPopupSliderButton
627	70664	key	19	PWPopupSliderButton
628	70767	key	6	PWView
629	71087	key	12	PWStaticText
630	71119	key	12	PWStaticText
631	71195	key	6	PWView
632	71533	key	17	PWEditSliderJoint
633	71570	key	17	PWEditSliderJoint
634	71641	key	16	PWViewAttachment
635	71781	key	17	PWEditSliderJoint
636	71818	key	17	PWEditSliderJoint
637	71889	key	16	PWViewAttachment
638	72029	key	17	PWEditSliderJoint
639	72066	key	17	PWEditSliderJoint
640	72137	key	16	PWViewAttachment
641	72277	key	17	PWEditSliderJoint
642	72314	key	17	PWEditSliderJoint
643	72385	key	16	PWViewAttachment
644	72571	key	12	PWModuleInfo
645	72837	key	17	PWCommandShortcut
646	81638	key	17	PWCommandShortcut
647	160466	text	11	MINI Ver.%s
648	160481	text	12	DEBUT Ver.%s
649	160497	text	10	PRO Ver.%s
650	160511	text	9	EX Ver.%s
651	160524	key	6	Ver.%s
652	160534	text	39	DC3マスターコンテンツを登録
653	160577	key	5	5.0.0
654	160586	key	5	5.0.0
655	160595	key	5	5.0.0
656	160604	key	12	202603091424
657	160620	text	17	CLIP STUDIO PAINT
658	160641	text	17	CLIP STUDIO PAINT
659	160662	text	17	CLIP STUDIO PAINT
660	160683	text	12	CELSYS, Inc.
661	160699	key	6	CELSYS
662	160709	key	6	CELSYS
663	160719	key	30	.:CELSYS:CLIPStudioPaint:1.5.0
664	160753	key	32	.:CELSYS:CLIPStudioPaintVer1_5_0
665	160789	text	37	(C) CELSYS, Inc. All Rights Reserved.
666	160830	key	31	.:CELSYS:CLIPStudio:InstallPath
667	160865	key	16	CLIPStudioCommon
668	160885	key	19	CLIPStudioPaintData
669	160908	key	32	CLIPStudioCommonInterProcessTemp
670	160944	key	6	CELSYS
671	160954	text	20	CLIP STUDIO PAINT %s
672	160978	key	6	CELSYS
673	160988	key	14	.:PlugIn:PAINT
674	161006	key	21	.:Module:PlugIn:PAINT
675	161031	key	31	.:CELSYS:CLIPStudioPlugIn:PAINT
676	161066	key	38	.:CELSYS:CLIPStudioModule:PlugIn:PAINT
677	161108	text	11	CLIP STUDIO
678	161123	key	5	1.0.0
679	161132	key	4	MINI
680	161140	key	5	DEBUT
681	161149	key	3	PRO
682	161156	key	2	EX
683	161162	key	7	glcheck
684	161173	key	7	glcheck
685	161184	key	6	auto:4
686	161194	key	8	manual:4
687	161206	text	20	CLIP STUDIO PAINT %s
688	161230	text	8	About %s
689	161242	text	7	Quit %s
690	161253	text	17	CLIP STUDIO PAINT
691	161274	text	12	App Settings
692	161290	text	23	About CLIP STUDIO PAINT
693	161317	text	19	Version information
694	161340	text	21	Switch to Simple Mode
695	161365	text	17	Shortcut Settings
696	161386	text	19	Air Action Settings
697	161409	text	21	Modifier Key Settings
698	161434	text	27	Set tool to use with finger
699	161465	key	11	Preferences
700	161480	text	22	Touch gesture settings
701	161506	text	19	Tab-Mate Controller
702	161529	text	28	Tab-Mate Controller Settings
703	161561	text	19	Quick Menu Settings
704	161584	text	19	CLIP STUDIO TABMATE
705	161607	text	28	CLIP STUDIO TABMATE Settings
706	161639	text	23	Tool Rotation Settings 
707	161666	text	18	Scan for Tabmate 2
708	161688	text	27	Stop scanning for Tabmate 2
709	161719	text	20	Disconnect Tabmate 2
710	161743	text	22	Register new Tabmate 2
711	161769	text	20	Command Bar Settings
712	161793	text	15	Layout Settings
713	161812	text	20	Palette Bar Settings
714	161836	text	17	Edit Bar Settings
715	161857	text	21	Pen Pressure Settings
716	161882	text	41	Reset pen pressure sensitivity adjustment
717	161927	text	44	Auto recognition for pen and touch operation
718	161975	text	13	Pen Operation
719	161992	text	15	Touch Operation
720	162011	text	40	Use different tools with fingers and pen
721	162055	key	8	QUMARION
722	162067	text	12	Use QUMARION
723	162083	text	30	Import Calibration Information
724	162117	text	30	Export Calibration Information
725	162151	key	9	Customize
726	162164	text	21	Buy Clip Studio Paint
727	162189	text	21	Review/Change License
728	162214	text	43	Purchase app / Change grade or payment plan
729	162261	text	42	Purchase app / Check grade or payment plan
730	162307	text	17	File Associations
731	162328	text	22	Quit CLIP STUDIO PAINT
732	162354	text	16	Enable Auto Save
733	162374	text	14	Return to Home
734	162392	text	12	Manage fonts
735	162408	text	16	Privacy Settings
736	162428	text	21	Connect to smartphone
737	162453	key	10	Expiration
738	162467	key	7	Version
739	162478	key	9	Customize
740	162491	key	7	License
741	162502	text	8	lip file
742	162514	key	4	File
743	162522	key	3	New
744	162529	key	4	Open
745	162537	key	6	Recent
746	162547	key	4	None
747	162555	text	20	File operation/Share
748	162579	text	11	Quick Share
749	162594	key	5	Close
750	162603	key	4	Save
751	162611	text	7	Save as
752	162622	text	14	Save Duplicate
753	162640	text	24	.lip (CLIP STUDIO PAINT)
754	162668	text	19	.lip (Optimization)
755	162691	text	31	.clip (CLIP STUDIO FORMAT file)
756	162726	text	10	.bmp (BMP)
757	162740	text	11	.jpg (JPEG)
758	162755	text	10	.png (PNG)
759	162769	text	16	.psd (Photoshop)
760	162789	text	11	.tif (TIFF)
761	162804	text	12	.tga (Targa)
762	162820	text	12	.webp (WebP)
763	162836	text	23	Export to photo library
764	162863	text	21	Export (Single Layer)
765	162888	text	34	Flatten and save to device storage
766	162926	text	13	Page settings
767	162943	text	14	Print Settings
768	162961	key	5	Print
769	162970	key	6	Import
770	162980	key	5	Image
771	162989	text	18	Pattern from Image
772	163011	text	7	3D Data
773	163022	key	6	Vector
774	163032	key	5	Audio
775	163041	text	14	Exposure sheet
776	163059	text	41	Pose Scanner (image) (Technology preview)
777	163104	text	20	Pose Scanner (image)
778	163128	text	21	Pose Scanner (camera)
779	163153	text	28	Pose Scanner (photo library)
780	163185	text	27	Pose Scanner (from storage)
781	163216	text	21	Hand Scanner (Camera)
782	163241	text	21	3D pose (Posemaniacs)
783	163266	key	4	Scan
784	163274	text	18	Select Scan Device
785	163296	key	6	Camera
786	163306	text	18	From photo library
787	163328	text	11	From device
788	163343	text	25	Create New from Clipboard
789	163372	text	29	Create new from app clipboard
790	163405	text	29	Create new from photo library
791	163438	text	30	Create new from device storage
792	163472	text	21	Create new from movie
793	163497	key	6	Revert
794	163507	text	16	Install material
795	163527	text	16	Open CLIP STUDIO
796	163547	key	11	.^1%s(^0%s)
797	163562	text	14	Image sequence
798	163580	text	12	Animated GIF
799	163596	text	23	Animated sticker (APNG)
800	163623	text	13	Animated WebP
801	163640	key	5	Movie
802	163649	text	21	Export animation cels
803	163674	text	14	Exposure sheet
804	163692	text	20	OpenToonz Scene File
805	163716	key	5	Audio
806	163725	text	14	Special Export
807	163743	text	14	Export vectors
808	163761	text	17	Export layer comp
809	163782	key	9	Timelapse
810	163795	text	16	Record timelapse
811	163815	text	16	Export timelapse
812	163835	text	14	Export webtoon
813	163853	key	4	Edit
814	163861	key	4	Undo
815	163869	key	4	Redo
816	163877	key	3	Cut
817	163884	key	4	Copy
818	163892	text	19	Copy vectors as SVG
819	163915	key	5	Paste
820	163924	text	23	Paste to shown position
821	163951	key	6	Delete
822	163961	text	24	Delete Outside Selection
823	163989	text	15	Smart Smoothing
824	164008	text	33	Remove tones (Technology preview)
825	164045	text	12	Remove tones
826	164061	text	23	Remove tones from layer
827	164088	text	25	Change tones to grayscale
828	164117	key	4	Fill
829	164125	text	13	Advanced Fill
830	164142	text	29	Colorize (Technology preview)
831	164175	key	8	Colorize
832	164187	text	12	Colorize all
833	164203	text	27	Use hint image and colorize
834	164234	text	26	Use more advanced settings
835	164264	text	24	Convert to drawing color
836	164292	text	17	Outline Selection
837	164313	text	29	Convert brightness to opacity
838	164346	text	14	Shading Assist
839	164364	text	17	Register Material
840	164385	key	5	Image
841	164394	key	8	Template
842	164406	key	9	Animation
843	164419	text	16	Tonal Correction
844	164439	key	9	Transform
845	164452	key	12	Scale/Rotate
846	164468	key	5	Scale
847	164477	key	6	Rotate
848	164487	text	14	Free Transform
849	164505	key	4	Skew
850	164513	key	7	Distort
851	164524	key	11	Perspective
852	164539	text	15	Flip Horizontal
853	164558	text	13	Flip Vertical
854	164575	text	19	Mesh Transformation
855	164598	text	11	Puppet warp
856	164613	key	2	OK
857	164619	key	6	Cancel
