source,target
"From %s/month
From %s/year    ","От %s/месяц
От %s/год"
"From %s/month
Perpetual license from %s","От %s/месяц
Бессрочная лицензия от %s"
Try for free,Попробовать бесплатно
Doodle mode,Режим набросков
Up to 30 hours a month for free with no ads,До 30 часов в месяц бесплатно и без рекламы
Already have a plan?,Уже есть план?
View available plans,Просмотреть доступные планы
First time subscribers get 3 months free,Новые подписчики получают 3 месяца бесплатно
First time subscribers get 20% off,Новые подписчики получают скидку 20%
Tap here for support,Нажмите здесь для обращения в поддержку
Your plan has expired.,Срок действия вашего плана истёк.
"Some features are limited in the current mode.
In doodle mode, you cannot save or export your project.","Некоторые функции ограничены в текущем режиме.
В режиме набросков нельзя сохранять или экспортировать проект."
"Some features are limited in the current mode.
In doodle mode, you cannot save or export your project.
Tap “Try for free” to use up to 30 hours free per month without limited features.","Некоторые функции ограничены в текущем режиме.
В режиме набросков нельзя сохранять или экспортировать проект.
Нажмите «Попробовать бесплатно», чтобы использовать до 30 часов в месяц бесплатно без ограничений."
I understand,Понятно
Close,Закрыть
Downloading...,Загрузка...
Downloading the installer for Clip Studio Paint %s.,Загрузка установщика Clip Studio Paint %s.
Failed to download the installer.,Не удалось загрузить установщик.
Loading plan details,Загрузка сведений о плане
Plan list,Список планов
See your plan details here,Просмотрите сведения о вашем плане здесь
Activation code,Код активации
Serial number,Серийный номер
"For smartphones, tablets, and PCs 
(12 or 13 digits)","Для смартфонов, планшетов и ПК 
(12 или 13 цифр)"
For Windows/macOS (30 digits),Для Windows/macOS (30 цифр)
Enter,Ввести
Update,Обновить
Active,Активный
"Install
compatible version","Установить
совместимую версию"
Serial number:,Серийный номер:
Order number:,Номер заказа:
License number:,Номер лицензии:
Contact us,Связаться с нами
No plans found.,Планы не найдены.
"This license is already being used on another device. 
You will need to switch the active device to use it on this device.","Эта лицензия уже используется на другом устройстве. 
Чтобы использовать её на этом устройстве, необходимо переключить активное устройство."
"This license is being used on another device. 
To use this license, you will need to switch the activation to this device.","Эта лицензия используется на другом устройстве. 
Чтобы использовать эту лицензию, необходимо переключить активацию на это устройство."
"This license has reached the maximum number of deactivations,
so it cannot be activated on this device.","Эта лицензия достигла максимального числа деактиваций,
поэтому её нельзя активировать на этом устройстве."
You cannot use this on the current device.,Это нельзя использовать на текущем устройстве.
You cannot use this license on the current device.,Эту лицензию нельзя использовать на текущем устройстве.
This version cannot be activated with the current license.,Эту версию нельзя активировать с текущей лицензией.
The serial number may not have been entered correctly.,"Возможно, серийный номер введён неверно."
More information,Подробнее
Log into Clip Studio,Вход в Clip Studio
Please enter your Clip Studio account details.,Введите данные учётной записи Clip Studio.
Email address,Адрес электронной почты
Password,Пароль
Forgot your password?,Забыли пароль?
Continue with Apple,Продолжить с Apple
Continue with Google,Продолжить с Google
Create account,Создать учётную запись
OR,ИЛИ
New to Clip Studio?,Впервые в Clip Studio?
(No access to full-feature trials),(Без доступа к полнофункциональным пробным версиям)
Failed to login. Please check your email address and password is correct and try again.,Не удалось войти. Проверьте правильность адреса электронной почты и пароля и повторите попытку.
You can change this at any time from the application menu > Privacy Settings.,Вы можете изменить это в любое время в меню приложения > Настройки конфиденциальности.
You can change this at any time from File > Privacy Settings.,Вы можете изменить это в любое время в меню Файл > Настройки конфиденциальности.
You can change this at any time from Menu > Settings > Privacy Settings.,Вы можете изменить это в любое время в Меню > Настройки > Настройки конфиденциальности.
Would you like to start the free trial?,Начать бесплатную пробную версию?
・ No payment required after free trial ends,・ Оплата не требуется после окончания пробного периода
・ No cancellation necessary,・ Отмена не требуется
Launching %s,Запуск %s
Enter serial number,Введите серийный номер
Windows/macOS (30 characters),Windows/macOS (30 символов)
"Failed to launch.
Please check your serial number and try again.","Не удалось запустить.
Проверьте серийный номер и повторите попытку."
Having trouble with your serial number?,Проблемы с серийным номером?
Continue offline,Продолжить офлайн
Enter 2-step verification code,Введите код двухэтапной проверки
Enter the 6-digit code,Введите 6-значный код
"A verification code has been sent to your registered email address.
The verification code will expire in 10 minutes.","Код проверки отправлен на ваш зарегистрированный адрес электронной почты.
Срок действия кода проверки истечёт через 10 минут."
Resend verification code,Отправить код проверки повторно
Skip verification for 90 days on this device,Пропускать проверку на этом устройстве в течение 90 дней
Verify,Проверить
"Verification failed.
Please enter the verification code again or try reissuing it.","Не удалось выполнить проверку.
Введите код проверки снова или попробуйте перевыпустить его."
"Verification failed.
Please check the connectivity of your device.","Не удалось выполнить проверку.
Проверьте подключение вашего устройства."
Purchase a license,Приобрести лицензию
Purchase,Купить
Switch to another license,Переключиться на другую лицензию
Switch,Переключить
Download Ver.%s,Загрузить версию %s
Download,Скачать
Launch in doodle mode,Запустить в режиме набросков
"Your current license (Ver.%s) is not compatible with this version. 
To use all features, please use a license for Ver.%s.","Ваша текущая лицензия (вер. %s) несовместима с этой версией. 
Чтобы использовать все функции, используйте лицензию для вер. %s."
"Your Update Pass has expired.
In order to continue using the app, you need a license or plan for Ver.%s.","Срок действия вашего Update Pass истёк.
Чтобы продолжить использовать приложение, вам нужна лицензия или план для вер. %s."
You cannot use this version.,Эту версию нельзя использовать.
"This version cannot be launched with your current license.
Please install the appropriate version for your license.","Эту версию нельзя запустить с вашей текущей лицензией.
Установите подходящую версию для вашей лицензии."
Install,Установить
https://www.clipstudio.net/gd?id=improvement-enus,https://www.clipstudio.net/gd?id=improvement-enus
