source,target
The avatar may only be manipulated by its author,Аватаром может управлять только его автор
Authorized only to explicitly specified persons,Разрешено только явно указанным лицам
Authorized to anyone,Разрешено всем
Permission to express violent acts with this avatar,Разрешение изображать сцены насилия с этим аватаром
Permission to express sexual acts with this avatar,Разрешение изображать сцены сексуального характера с этим аватаром
For commercial use,Для коммерческого использования
Allow,Разрешить
Disallow,Запретить
Other License URL,URL другой лицензии
Redistribution / Adaptations License,Лицензия на распространение / адаптации
Redistribution Prohibited,Распространение запрещено
Copyright waiver ,Отказ от авторских прав 
Creative Commons CC BY license,Creative Commons CC BY license
Creative Commons CC BY-NC license,Creative Commons CC BY-NC license
Creative Commons CC BY-SA license,Creative Commons CC BY-SA license
Creative Commons CC BY-NC-SA license,Creative Commons CC BY-NC-SA license
Creative Commons CC BY-ND license,Creative Commons CC BY-ND license
Creative Commons CC BY-NC-ND license,Creative Commons CC BY-NC-ND license
Other,Другое
Other license conditions for redistribution/adaptation,Другие условия лицензии для распространения/адаптации
Name,Имя
Copyright owner,Владелец авторских прав
Contact information for the author (representative),Контактная информация автора (представителя)
Information for original/related works if applicable,Сведения об оригинальных/связанных произведениях (при наличии)
Third-party license display,Отображение лицензий третьих сторон
URL to license text,URL текста лицензии
User who can manipulate this avatar,Кто может управлять этим аватаром
Only Author,Только автор
Explicitly Licensed Person,Явно лицензированное лицо
Everyone,Все
Yes,Да
No,Нет
Permission to use for excessively violent expressions,Разрешение использовать для изображения чрезмерного насилия
Permission to use for excessively sexual expressions,Разрешение использовать для изображения чрезмерно сексуального содержания
Permission to use for religious expressions or political expressions,Разрешение использовать для религиозных или политических высказываний
Permission to use for antisocial expressions or hate expressions,Разрешение использовать для антисоциальных или враждебных высказываний
Permission to Redistribute,Разрешение на распространение
Permission for Commercial Use,Разрешение на коммерческое использование
Only permitted for individual non-commercial use,Разрешено только для личного некоммерческого использования
Permitted for individual commercial or non-commercial use,Разрешено для личного коммерческого или некоммерческого использования
Permitted for all individual and corporate users,Разрешено для всех частных и корпоративных пользователей
Credit Attribution,Указание авторства
Required,Обязательно
Not required,Не требуется
Permission for Adaptation and Redistribution of Adaptations,Разрешение на адаптацию и распространение адаптаций
Not permitted,Не разрешено
Allow adaptation only,Разрешить только адаптацию
Allow adaptation and redistribution of adaptations,Разрешить адаптацию и распространение адаптаций
URL for other license conditions,URL для других условий лицензии
Auto Action,Автооперация
Add auto action,Добавить автооперацию
Delete auto action,Удалить автооперацию
Change auto action,Изменить автооперацию
Duplicate auto action,Дублировать автооперацию
Move Auto Action to a different set,Переместить автооперацию в другой набор
Copy Auto Action to a different set,Копировать автооперацию в другой набор
Delete command,Удалить команду
Duplicate command,Дублировать команду
Create new set,Создать новый набор
Edit set,Редактировать набор
Switch the set,Переключить набор
Start to record auto action,Начать запись автооперации
Play auto action,Воспроизвести автооперацию
Loop play,Циклическое воспроизведение
Export set,Экспортировать набор
Import set,Импортировать набор
Register set as material,Зарегистрировать набор как материал
Add auto action set,Добавить набор автоопераций
Auto-install downloaded materials,Автоматически устанавливать загруженные материалы
Playback settings,Настройки воспроизведения
Button mode,Режим кнопок
Show the action setting bar,Показать панель настройки операций
Auto action %d,Автооперация %d
New auto action set %d,Новый набор автоопераций %d
Copy of %s,Копия %s
Delete selected auto action,Удалить выбранную автооперацию
Add new auto action to current auto action,Добавить новую автооперацию в текущую
Switch action set to use,Переключить используемый набор операций
Stop to record auto action,Остановить запись автооперации
Start to play auto action,Начать воспроизведение автооперации
Stop to play auto action,Остановить воспроизведение автооперации
Create new auto action set,Создать новый набор автоопераций
Are you sure you want to delete %s?,Вы действительно хотите удалить %s?
Are you sure you want to delete these %d items?,Вы действительно хотите удалить выбранные элементы (%d)?
Loop play auto action without continue confirmation. Press Esc key to stop.,Циклически воспроизводить автооперацию без подтверждения продолжения. Нажмите Esc для остановки.
Register to auto action palette.,Зарегистрировать в палитре автоопераций.
You cannot import Auto Action files in Clip Studio Paint Debut.,Импорт файлов автоопераций недоступен в Clip Studio Paint Debut.
"This Auto Action includes “Brush type” settings for the line extraction.
If used on a different device or version, the “Brush type” setting may not be applied.
Do you want to continue exporting the Auto Action set?",
"This Auto Action includes “Brush type” settings for the line extraction.
If used on a different device or version, the “Brush type” setting may not be applied.
Do you want to continue registering this Auto Action set as a material?",
All supported formats|*.laf|auto action set file|*.laf,Все поддерживаемые форматы|*.laf|Файл набора автоопераций|*.laf
Auto action set file|*.laf,Файл набора автоопераций|*.laf
Search for auto actions on ASSETS,Искать автооперации в ASSETS
Add palette,Добавить палитру
Materials not added to palette,"Материалы, не добавленные в палитру"
Set name,Имя набора
Play,Воспроизвести
Waiting time,Время ожидания
Confirm continuation of loop play,Подтвердить продолжение циклического воспроизведения
Duplicate set,Дублировать набор
Delete set,Удалить набор
Rename set,Переименовать набор
Add from default,Добавить из стандартных
Close,Закрыть
Add,Добавить
 (Ver %s), (Вер. %s)
Add group from default,Добавить группу из стандартных
Air Action Settings,Настройки Air Action
Reset,Сбросить
Do you want to revert Air Action settings to their original defaults?,Вернуть настройки Air Action к исходным значениям по умолчанию?
"You can customize your Air Action settings.
Please check below for details.",
How to check Air Actions,Как проверить Air Action
Edit preset,Редактировать набор настроек
Confirm,Подтвердить
Discard,Отклонить
Back,Назад
Delete,Удалить
Rename preset,Переименовать набор настроек
Custom,Пользовательский
Confirm edit?,Подтвердить изменение?
"Preset with the same name already exist.
Overwrite?",
"“%s“ cannot be registered.
Please enter a different preset name.",
Save,Сохранить
Change name,Изменить имя
Onion skin settings,Настройки кальки
Number of skins,Число кадров кальки
Previous frame,Предыдущий кадр
Next frame,Следующий кадр
cels,ячейки
View Settings,Настройки отображения
Color mode,Цветовой режим
Color,Цвет
Half color,Половинный цвет
Monochrome,Монохромный
Specify opacity level,Задать уровень непрозрачности
Start,Начать
Step opacity,Шаг непрозрачности
