source,target
The avatar may only be manipulated by its author,Аватаром может управлять только его автор
Authorized only to explicitly specified persons,Разрешено только явно указанным лицам
Authorized to anyone,Разрешено всем
Permission to express violent acts with this avatar,Разрешение изображать сцены насилия с этим аватаром
Permission to express sexual acts with this avatar,Разрешение изображать сцены сексуального характера с этим аватаром
For commercial use,Для коммерческого использования
Other License URL,URL другой лицензии
Redistribution / Adaptations License,Лицензия на распространение / адаптации
Redistribution Prohibited,Распространение запрещено
Copyright waiver ,Отказ от авторских прав 
Creative Commons CC BY license,Creative Commons CC BY license
Creative Commons CC BY-NC license,Creative Commons CC BY-NC license
Creative Commons CC BY-SA license,Creative Commons CC BY-SA license
Creative Commons CC BY-NC-SA license,Creative Commons CC BY-NC-SA license
Creative Commons CC BY-ND license,Creative Commons CC BY-ND license
Creative Commons CC BY-NC-ND license,Creative Commons CC BY-NC-ND license
Other license conditions for redistribution/adaptation,Другие условия лицензии для распространения/адаптации
Copyright owner,Владелец авторских прав
Contact information for the author (representative),Контактная информация автора (представителя)
Information for original/related works if applicable,Сведения об оригинальных/связанных произведениях (при наличии)
Third-party license display,Отображение лицензий третьих сторон
URL to license text,URL текста лицензии
User who can manipulate this avatar,Кто может управлять этим аватаром
Only Author,Только автор
Explicitly Licensed Person,Явно лицензированное лицо
Permission to use for excessively violent expressions,Разрешение использовать для изображения чрезмерного насилия
Permission to use for excessively sexual expressions,Разрешение использовать для изображения чрезмерно сексуального содержания
Permission to use for religious expressions or political expressions,Разрешение использовать для религиозных или политических высказываний
Permission to use for antisocial expressions or hate expressions,Разрешение использовать для антисоциальных или враждебных высказываний
Permission to Redistribute,Разрешение на распространение
Permission for Commercial Use,Разрешение на коммерческое использование
Only permitted for individual non-commercial use,Разрешено только для личного некоммерческого использования
Permitted for individual commercial or non-commercial use,Разрешено для личного коммерческого или некоммерческого использования
Permitted for all individual and corporate users,Разрешено для всех частных и корпоративных пользователей
Credit Attribution,Указание авторства
Not required,Не требуется
Permission for Adaptation and Redistribution of Adaptations,Разрешение на адаптацию и распространение адаптаций
Not permitted,Не разрешено
Allow adaptation only,Разрешить только адаптацию
Allow adaptation and redistribution of adaptations,Разрешить адаптацию и распространение адаптаций
URL for other license conditions,URL для других условий лицензии
Button mode,Режим кнопок
Add auto action,Добавить автооперацию
Delete auto action,Удалить автооперацию
Change auto action,Изменить автооперацию
Duplicate auto action,Дублировать автооперацию
Move Auto Action to a different set,Переместить автооперацию в другой набор
Copy Auto Action to a different set,Копировать автооперацию в другой набор
Delete command,Удалить команду
Duplicate command,Дублировать команду
Edit set,Редактировать набор
Switch the set,Переключить набор
Start to record auto action,Начать запись автооперации
Play auto action,Воспроизвести автооперацию
Export set,Экспортировать набор
Import set,Импортировать набор
Register set as material,Зарегистрировать набор как материал
Add auto action set,Добавить набор автоопераций
Auto-install downloaded materials,Автоматически устанавливать загруженные материалы
Show the action setting bar,Показать панель настройки операций
Switch action set to use,Переключить используемый набор операций
Create new auto action set,Создать новый набор автоопераций
Start to play auto action,Начать воспроизведение автооперации
Add new auto action to current auto action,Добавить новую автооперацию в текущую
Delete selected auto action,Удалить выбранную автооперацию
Auto Action,Автооперация
Create new set,Создать новый набор
Loop play,Циклическое воспроизведение
Playback settings,Настройки воспроизведения
Auto action %d,Автооперация %d
New auto action set %d,Новый набор автоопераций %d
Copy of %s,Копия %s
Stop to record auto action,Остановить запись автооперации
Stop to play auto action,Остановить воспроизведение автооперации
Are you sure you want to delete %s?,Вы действительно хотите удалить %s?
Are you sure you want to delete these %d items?,Вы действительно хотите удалить выбранные элементы (%d)?
Loop play auto action without continue confirmation. Press Esc key to stop.,Циклически воспроизводить автооперацию без подтверждения продолжения. Нажмите Esc для остановки.
Register to auto action palette.,Зарегистрировать в палитре автоопераций.
You cannot import Auto Action files in Clip Studio Paint Debut.,Импорт файлов автоопераций недоступен в Clip Studio Paint Debut.
"This Auto Action includes “Brush type” settings for the line extraction.
If used on a different device or version, the “Brush type” setting may not be applied.
Do you want to continue exporting the Auto Action set?","Эта автооперация содержит настройки «Тип кисти» для извлечения линий.
При использовании на другом устройстве или в другой версии настройка «Тип кисти» может не примениться.
Продолжить экспорт набора автоопераций?"
"This Auto Action includes “Brush type” settings for the line extraction.
If used on a different device or version, the “Brush type” setting may not be applied.
Do you want to continue registering this Auto Action set as a material?","Эта автооперация содержит настройки «Тип кисти» для извлечения линий.
При использовании на другом устройстве или в другой версии настройка «Тип кисти» может не примениться.
Продолжить регистрацию этого набора автоопераций как материала?"
All supported formats|*.laf|auto action set file|*.laf,Все поддерживаемые форматы|*.laf|Файл набора автоопераций|*.laf
Auto action set file|*.laf,Файл набора автоопераций|*.laf
Search for auto actions on ASSETS,Искать автооперации в ASSETS
Add palette,Добавить палитру
Materials not added to palette,"Материалы, не добавленные в палитру"
Set name,Имя набора
Waiting time,Время ожидания
Confirm continuation of loop play,Подтвердить продолжение циклического воспроизведения
Duplicate set,Дублировать набор
Delete set,Удалить набор
Rename set,Переименовать набор
Add from default,Добавить из стандартных
 (Ver %s), (Вер. %s)
Add group from default,Добавить группу из стандартных
"You can customize your Air Action settings.
Please check below for details.","Вы можете настроить параметры Air Action.
Подробности см. ниже."
Air Action Settings,Настройки Air Action
Do you want to revert Air Action settings to their original defaults?,Вернуть настройки Air Action к исходным значениям по умолчанию?
How to check Air Actions,Как проверить Air Action
Rename preset,Переименовать набор настроек
Edit preset,Редактировать набор настроек
Confirm edit?,Подтвердить изменение?
"Preset with the same name already exist.
Overwrite?","Набор настроек с таким именем уже существует.
Перезаписать?"
"“%s“ cannot be registered.
Please enter a different preset name.","Не удалось зарегистрировать «%s».
Введите другое имя набора настроек."
Change name,Изменить имя
Number of skins,Число кадров кальки
Previous frame,Предыдущий кадр
Next frame,Следующий кадр
View Settings,Настройки отображения
Color mode,Цветовой режим
Specify opacity level,Задать уровень непрозрачности
Step opacity,Шаг непрозрачности
Onion skin settings,Настройки кальки
Half color,Половинный цвет
CLIP STUDIO PAINT,CLIP STUDIO PAINT
"CELSYS, Inc.","CELSYS, Inc."
"(C) CELSYS, Inc. All Rights Reserved.","(C) CELSYS, Inc. Все права защищены."
To CLIP website,На сайт CLIP
"CLIP STUDIO PAINT 1.3.8 RC version has expired.
Thank you for using CLIP STUDIO PAINT.

We are developing several services for your creative activity on ""CLIP"" 

[Creative Activity Support ""CLIP"" ]","Срок действия версии CLIP STUDIO PAINT 1.3.8 RC истёк.
Благодарим вас за использование CLIP STUDIO PAINT.

Мы разрабатываем ряд сервисов для вашей творческой деятельности на «CLIP».

[Поддержка творческой деятельности «CLIP»]"
Open page,Открыть страницу
Open page with new tab,Открыть страницу в новой вкладке
3D Preview for Binding,3D-просмотр переплёта
Export fanzine printing data,Экспортировать данные для печати фанзина
Show binding list,Показать список переплёта
Print file name settings,Настройки имени файла печати
Allow cover pages to be moved,Разрешить перемещение страниц обложки
Paste to shown position,Вставить в отображаемую позицию
Free Transform,Свободная трансформация
Select All,Выделить всё
Selection from Ruler,Выделение из линейки
Flip Horizontal,Отразить по горизонтали
Flip Vertical,Отразить по вертикали
Layout Settings,Настройки макета
Edit Bar Settings,Настройки панели редактирования
Graph Editor,Редактор графиков
Snap to X axis,Привязка к оси X
Snap to Y axis,Привязка к оси Y
Unpair handles,Разъединить манипуляторы
Add keyframe,Добавить ключевой кадр
Switch keyframe to hold interpolation,Переключить ключевой кадр на ступенчатую интерполяцию
Switch keyframe to linear interpolation,Переключить ключевой кадр на линейную интерполяцию
Switch keyframe to smooth interpolation,Переключить ключевой кадр на плавную интерполяцию
Create folder and insert layer,Создать папку и вложить слой
Duplicate Layer,Дублировать слой
Delete Layer,Удалить слой
Layer Mask,Маска слоя
Mask Outside Selection,Маскировать вне выделения
Mask Selection,Маскировать выделение
Delete Mask,Удалить маску
Apply Mask to Layer,Применить маску к слою
Enable Mask,Включить маску
Show Mask Area,Показать область маски
Link Mask to Layer,Связать маску со слоем
Draw along ruler,Рисовать вдоль линейки
Ruler from vector,Линейка из вектора
Delete Ruler,Удалить линейку
Show Ruler,Показать линейку
Link Ruler to Layer,Связать линейку со слоем
Create Perspective Ruler,Создать линейку перспективы
Divide frame border equally,Разделить рамку поровну
Combine frames,Объединить рамки
Show in All Layers,Показывать на всех слоях
Show in Same Folder,Показывать в той же папке
Show Only When Editing Target,Показывать только при редактировании цели
Link guide to ruler,Связать направляющую с линейкой
File object,Файловый объект
Convert layer to file object,Преобразовать слой в файловый объект
Paste as file object,Вставить как файловый объект
Change file of file object,Изменить файл файлового объекта
Open file of file object,Открыть файл файлового объекта
Open folder of file object,Открыть папку файлового объекта
Update file object,Обновить файловый объект
Update all file objects,Обновить все файловые объекты
Layer Settings,Настройки слоя
Set as Reference Layer,Назначить эталонным слоем
Set as Draft Layer,Назначить черновым слоем
Lock Layer,Заблокировать слой
Lock transparent pixels,Заблокировать прозрачные пиксели
Show Layer,Показать слой
Change Layer Name,Изменить имя слоя
Display palette color in parent folder,Показывать цвет палитры в родительской папке
Display palette color on canvas,Показывать цвет палитры на холсте
Advanced Settings,Дополнительные настройки
Selection from Layer,Выделение из слоя
Create Selection,Создать выделение
Add Selection,Добавить к выделению
Delete Selection,Удалить выделение
Select Overlapping Area,Выделить перекрывающуюся область
Show/Hide this layer,Показать/скрыть этот слой
New animation cel,Новая ячейка анимации
Select previous cel,Выбрать предыдущую ячейку
Select next cel,Выбрать следующую ячейку
New Raster Layer,Новый растровый слой
New Layer,Новый слой
Raster layer,Растровый слой
Vector layer,Векторный слой
Frame Border folder,Папка рамок
3D layer,3D-слой
3D drawing figure,3D-фигура для рисования
Clip Studio SHARE,Clip Studio SHARE
Foil layer,Слой фольги
New Correction Layer,Новый корректирующий слой
Reverse Gradient,Обратить градиент
Level Correction,Коррекция уровней
Tone Curve,Тоновая кривая
Color balance,Цветовой баланс
Gradient map,Карта градиента
New Layer Folder,Новая папка слоёв
Ungroup Layer Folder,Разгруппировать папку слоёв
Clip to Layer Below,Привязать к нижнему слою
Convert Layer,Преобразовать слой
Convert to lines and tones,Преобразовать в линии и тона
Transfer To Lower Layer,Перенести на нижний слой
Merge with layer below,Объединить с нижним слоем
Merge selected layers,Объединить выбранные слои
Enable light table,Включить лайтбокс
Lock current animation cel as editing target,Заблокировать текущую ячейку анимации как цель редактирования
Move canvas to center,Переместить холст в центр
Register selected layer,Зарегистрировать выбранный слой
Select and register file,Выбрать и зарегистрировать файл
Register layer copied from another canvas,"Зарегистрировать слой, скопированный с другого холста"
Register onion skin images,Зарегистрировать изображения кальки
Deregister selected image from light table,Убрать выбранное изображение из лайтбокса
Deregister all images from light table,Убрать все изображения из лайтбокса
Change layer color,Изменить цвет слоя
Change sub color,Изменить дополнительный цвет
Delete layers,Удалить слои
Empty layers,Пустые слои
Hidden layers,Скрытые слои
Hide all visible draft layers,Скрыть все видимые черновые слои
Merge visible layers,Объединить видимые слои
Merge visible to new layer,Объединить видимые в новый слой
Flatten image,Свести изображение
Show This Layer And Parent Folders,Показать этот слой и родительские папки
Show All Other Layers,Показать все остальные слои
Hide All Other Layers,Скрыть все остальные слои
Hide All Except Selected Layer,"Скрыть всё, кроме выбранного слоя"
Reset Rotation,Сбросить поворот
Rotate 90,Повернуть на 90°
Rotate 180,Повернуть на 180°
Rotate 270,Повернуть на 270°
Rotate Left,Повернуть влево
Rotate Right,Повернуть вправо
Zoom In,Увеличить
Zoom Out,Уменьшить
Fit To Screen,По размеру экрана
Reset Display,Сбросить отображение
Fit to Navigator,По размеру навигатора
Print size,Размер печати
Palette Bar Settings,Настройки панели палитр
First Page,Первая страница
Previous Page,Предыдущая страница
Next Page,Следующая страница
Last Page,Последняя страница
Specific Page,Определённая страница
Add Page,Добавить страницу
Add Page (Advanced),Добавить страницу (расширенно)
Import Page(s),Импортировать страницы
Replace page,Заменить страницу
Duplicate Page,Дублировать страницу
Delete Page,Удалить страницу
Combine Pages,Объединить страницы
Split Pages,Разделить страницы
Change page settings,Изменить настройки страницы
Change project settings,Изменить настройки проекта
Sort page file names,Сортировать имена файлов страниц
Page Reordering,Изменение порядка страниц
Ctrl + Drag,Ctrl + перетаскивание
Webtoon reading direction,Направление чтения вебтуна
Batch process,Пакетная обработка
Batch import,Пакетный импорт
Batch export,Пакетный экспорт
Continuous Scan,Непрерывное сканирование
Apply layer comps,Применить композиции слоёв
Binding process,Процесс переплёта
Edit text,Редактировать текст
Open story editor,Открыть редактор сюжета
Group work,Совместная работа
Update work folder,Обновить папку работы
Reflect change on group work data,Отразить изменения в данных совместной работы
Show log,Показать журнал
Assign member,Назначить участника
Unassign member,Отменить назначение участника
Show member's comment,Показать комментарий участника
Discard changes to work folder,Отменить изменения в папке работы
Open conflicting file,Открыть конфликтующий файл
Resolve conflict,Разрешить конфликт
Prepare group work data,Подготовить данные совместной работы
Show settings,Показать настройки
Apply Tool Settings to text,Применить настройки инструмента к тексту
New text,Новый текст
Delete text,Удалить текст
Find and Replace,Найти и заменить
Modifier Key Settings,Настройки клавиш-модификаторов
New animation layer,Новый слой анимации
Animation folder,Папка анимации
2D camera folder,Папка 2D-камеры
Edit track,Редактировать дорожку
Enable keyframes on this layer,Включить ключевые кадры на этом слое
Edit layers with active keyframes,Редактировать слои с активными ключевыми кадрами
Delete all keyframes,Удалить все ключевые кадры
Assign cel to frame,Назначить ячейку кадру
Assign multiple cels,Назначить несколько ячеек
Create all supported cels,Создать все поддерживаемые ячейки
Rename in timeline order,Переименовать в порядке шкалы времени
Rename in layer order,Переименовать в порядке слоёв
Combine clips,Объединить клипы
Divide clip,Разделить клип
Set as first displayed frame,Задать как первый отображаемый кадр
Set as last displayed frame,Задать как последний отображаемый кадр
Play in real time,Воспроизвести в реальном времени
Play all frames,Воспроизвести все кадры
Render 2D camera,Рендеринг 2D-камеры
Render before starting playback,Рендеринг перед началом воспроизведения
Prefer speed,Предпочесть скорость
Prefer quality,Предпочесть качество
Move frame,Переместить кадр
Go to start,Перейти к началу
Go to end,Перейти к концу
Go to previous frame,Перейти к предыдущему кадру
Go to next frame,Перейти к следующему кадру
Previous keyframe,Предыдущий ключевой кадр
Next keyframe,Следующий ключевой кадр
Go to specified frame,Перейти к указанному кадру
Go to timeline label,Перейти к метке шкалы времени
Create timeline label,Создать метку шкалы времени
Delete timeline label,Удалить метку шкалы времени
Create track label,Создать метку дорожки
Delete track label,Удалить метку дорожки
Create inbetween track label “○”,Создать метку промежуточной дорожки «○»
Create inbetween track label “●”,Создать метку промежуточной дорожки «●»
Enable timeline,Включить шкалу времени
New timeline,Новая шкала времени
Go to previous timeline,Перейти к предыдущей шкале времени
Go to next timeline,Перейти к следующей шкале времени
Change settings,Изменить настройки
Change frame rate,Изменить частоту кадров
Manage timeline,Управление шкалой времени
Insert frame,Вставить кадр
Delete frame,Удалить кадр
Apply Toei Animation Digital Exposure Sheet information to current exposure sheet,Применить сведения экспозиционного листа Toei Animation Digital к текущему экспозиционному листу
Load changes to Toei Animation Digital Exposure Sheet,Загрузить изменения в экспозиционный лист Toei Animation Digital
Toei Animation Digital Exposure Sheet settings,Настройки экспозиционного листа Toei Animation Digital
Toei Animation Digital Exposure Sheet path,Путь к экспозиционному листу Toei Animation Digital
Show animation cels,Показать ячейки анимации
Show edited cel only,Показать только редактируемую ячейку
Enable onion skin,Включить кальку
Check cel motion by key input,Проверить движение ячейки нажатием клавиши
Check surrounding cels by key input,Проверить соседние ячейки нажатием клавиши
Light table,Лайтбокс
Show 2D camera frames,Показать кадры 2D-камеры
Show camera path,Показать траекторию камеры
Show all field guides,Показать все направляющие поля
Audio scrubbing,Прокрутка звука
Show/Hide This Track,Показать/скрыть эту дорожку
Show This Track and Parent Folders,Показать эту дорожку и родительские папки
Show All Other Tracks,Показать все другие дорожки
Hide All Other Tracks,Скрыть все другие дорожки
Hide All Except Selected Track,"Скрыть все, кроме выбранной дорожки"
Set as start frame,Задать как начальный кадр
Set as end frame,Задать как конечный кадр
Command Bar Settings,Настройки панели команд
Selection Launcher Settings,Настройки лаунчера выделения
Boost up,Ускорить
About CLIP STUDIO PAINT,О программе CLIP STUDIO PAINT
Version information,Сведения о версии
Privacy Settings,Настройки конфиденциальности
Shortcut Settings,Настройки горячих клавиш
Manage fonts,Управление шрифтами
Connect to smartphone,Подключить к смартфону
Tab-Mate Controller,Tab-Mate Controller
Tab-Mate Controller Settings,Настройки Tab-Mate Controller
Quick Menu Settings,Настройки быстрого меню
CLIP STUDIO TABMATE,CLIP STUDIO TABMATE
CLIP STUDIO TABMATE Settings,Настройки CLIP STUDIO TABMATE
Tool Rotation Settings ,Настройки поворота инструмента 
Scan for Tabmate 2,Поиск Tabmate 2
Register new Tabmate 2,Зарегистрировать новый Tabmate 2
Pen Pressure Settings,Настройки нажима пера
Use QUMARION,Использовать QUMARION
Import Calibration Information,Импортировать сведения о калибровке
Export Calibration Information,Экспортировать сведения о калибровке
Open CLIP STUDIO,Открыть CLIP STUDIO
Switch to Simple Mode,Переключиться в простой режим
File Associations,Сопоставления файлов
Buy Clip Studio Paint,Купить Clip Studio Paint
Review/Change License,Просмотреть/изменить лицензию
Quit CLIP STUDIO PAINT,Выйти из CLIP STUDIO PAINT
Create New from Clipboard,Создать новый из буфера обмена
Create new from photo library,Создать новый из библиотеки фотографий
Create new from movie,Создать новый из видео
Save as,Сохранить как
Save Duplicate,Сохранить дубликат
.clip (CLIP STUDIO FORMAT file),.clip (файл CLIP STUDIO FORMAT)
.bmp (BMP),.bmp (BMP)
.jpg (JPEG),.jpg (JPEG)
.png (PNG),.png (PNG)
.tif (TIFF),.tif (TIFF)
.tga (Targa),.tga (Targa)
.webp (WebP),.webp (WebP)
Export to photo library,Экспортировать в библиотеку фотографий
Export (Single Layer),Экспортировать (один слой)
Flatten and save to device storage,Свести и сохранить в хранилище устройства
Export multiple pages,Экспортировать несколько страниц
Open exporting destination of fanzine printing data,Открыть папку назначения данных для печати фанзина
Export EPUB data,Экспортировать данные EPUB
Open exporting destination of EPUB data,Открыть папку назначения данных EPUB
Export settings for EPUB data,Настройки экспорта данных EPUB
Export animation,Экспортировать анимацию
Image sequence,Последовательность изображений
Animated GIF,Анимированный GIF
Animated sticker (APNG),Анимированный стикер (APNG)
Animated WebP,Анимированный WebP
Export animation cels,Экспортировать ячейки анимации
OpenToonz Scene File,Файл сцены OpenToonz
Exposure sheet,Экспозиционный лист
Special Export,Особый экспорт
Export webtoon,Экспортировать вебтун
Export vectors,Экспортировать векторы
Export layer comp,Экспортировать композицию слоёв
Record timelapse,Записать таймлапс
Export timelapse,Экспортировать таймлапс
Pattern from Image,Узор из изображения
Create file object,Создать файловый объект
3D Data,3D-данные
Pose Scanner (image) (Technology preview),Сканер позы (изображение) (Предварительная версия технологии)
Pose Scanner (camera),Сканер позы (камера)
Pose Scanner (photo library),Сканер позы (библиотека фотографий)
3D pose (Posemaniacs),3D-поза (Posemaniacs)
Select Scan Device,Выбрать устройство сканирования
From photo library,Из библиотеки фотографий
Print Settings,Настройки печати
Corner store print,Печать в магазине у дома
File operation/Share,Операции с файлами/обмен
Quick Share,Быстрый обмен
Copy vectors as SVG,Копировать векторы как SVG
Delete Outside Selection,Удалить за пределами выделения
Smart Smoothing,Умное сглаживание
Remove tones (Technology preview),Удалить тона (Предварительная версия технологии)
Remove tones from layer,Удалить тона со слоя
Change tones to grayscale,Преобразовать тона в оттенки серого
Advanced Fill,Расширенная заливка
Colorize (Technology preview),Раскрашивание (Предварительная версия технологии)
Colorize all,Раскрасить всё
Use hint image and colorize,Использовать изображение-подсказку и раскрасить
Use more advanced settings,Использовать дополнительные настройки
Shading Assist,Помощник по теням
Convert to drawing color,Преобразовать в цвет рисования
Outline Selection,Контур выделения
Convert brightness to opacity,Преобразовать яркость в непрозрачность
Register Material,Зарегистрировать материал
Tonal Correction,Тоновая коррекция
Color Match,Сопоставление цветов
Mesh Transformation,Сеточная трансформация
Puppet warp,Марионеточная деформация
Align top edges,Выровнять по верхним краям
Align vertical centers,Выровнять по вертикальным центрам
Align bottom edges,Выровнять по нижним краям
Align left edges,Выровнять по левым краям
Align horizontal centers,Выровнять по горизонтальным центрам
Align right edges,Выровнять по правым краям
Distribute top edges,Распределить по верхним краям
Distribute vertical centers,Распределить по вертикальным центрам
Distribute bottom edges,Распределить по нижним краям
Distribute left edges,Распределить по левым краям
Distribute horizontal centers,Распределить по горизонтальным центрам
Distribute right edges,Распределить по правым краям
Distribute vertical spacing,Распределить по вертикальным интервалам
Distribute horizontal spacing,Распределить по горизонтальным интервалам
Use alignment object,Использовать объект выравнивания
Use canvas as base,Использовать холст как основу
Use selection area as base,Использовать область выделения как основу
Use guide as base,Использовать направляющую как основу
Auto-detect base,Автоопределение основы
Align to text pixels,Выровнять по пикселям текста
Align to vector paths,Выровнять по векторным контурам
Change Image Resolution,Изменить разрешение изображения
Change Canvas Size,Изменить размер холста
Change canvas height,Изменить высоту холста
Rotate/Flip canvas,Повернуть/отразить холст
Rotate by 90 Degrees Clockwise,Повернуть на 90 градусов по часовой стрелке
Rotate by 90 Degrees Counterclockwise,Повернуть на 90 градусов против часовой стрелки
Canvas Properties,Свойства холста
Clear work history,Очистить историю работы
Canvas work time,Время работы над холстом
Pick screen color,Взять цвет с экрана
Hide windows and pick screen color,Скрыть окна и взять цвет с экрана
Layer Order,Порядок слоёв
Change Selected Layer,Изменить выбранный слой
Layer Above,Слой выше
Layer Below,Слой ниже
Invert selected area,Инвертировать выделенную область
Expand selected area,Расширить выделенную область
Shrink selected area,Сузить выделенную область
Blur border,Размыть границу
Select Color Gamut,Выбрать цветовой охват
Select Overlapping Vectors,Выделить перекрывающиеся векторы
Select Vectors Within Area,Выделить векторы в области
Quick Mask,Быстрая маска
Convert to Selection Layer,Преобразовать в слой выделения
Convert Selection Layer to Selection,Преобразовать слой выделения в выделение
Page Manager,Менеджер страниц
Page Manager Layout,Макет менеджера страниц
Obtain group work data,Получить данные совместной работы
Animation curve,Кривая анимации
Reset Rotation/Inversion,Сбросить поворот/отражение
Show canvas on external monitor,Показать холст на внешнем мониторе
Scroll Bar,Полоса прокрутки
Selection Border,Граница выделения
Selection Launcher,Лаунчер выделения
Transform launcher,Лаунчер трансформации
Text launcher,Лаунчер текста
Object Launcher,Лаунчер объекта
Ruler Bar,Панель линеек
Grid/Ruler Bar Settings,Настройки панели сетки/линеек
Crop marks/Inner border,Метки обреза/внутренняя рамка
Crop marks/Inner border settings,Настройки меток обреза/внутренней рамки
Safety margin,Поле безопасности
On-screen area (webtoon),Экранная область (вебтун)
On-screen area settings (webtoon),Настройки экранной области (вебтун)
Story Information,Сведения о сюжете
Show Tone Area,Показать область тона
Show Selected Tone Area,Показать выбранную область тона
Show All Tone Areas,Показать все области тонов
Include Image Material Area,Включая область материала-изображения
Show vector paths,Показать векторные контуры
Show vector paths on selected layers,Показать векторные контуры на выбранных слоях
Show all vector paths on vector layers,Показать все векторные контуры на векторных слоях
Show control points at beginning and end,Показать контрольные точки в начале и конце
Show all control points,Показать все контрольные точки
Show playback fps,Показать частоту кадров воспроизведения
Show guides when snapping,Показывать направляющие при привязке
Snap to rulers,Привязать к линейкам
Snap to special rulers,Привязать к специальным линейкам
Snap to grid,Привязать к сетке
Toggle special ruler snapping,Переключить привязку к специальной линейке
Snap to canvas edge/inner border,Привязать к краю холста/внутренней рамке
Snap frames to canvas edge/inner border,Привязать кадры к краю холста/внутренней рамке
Snap to objects,Привязать к объектам
Snap to control points,Привязать к контрольным точкам
Color profile,Цветовой профиль
Preview Settings,Настройки просмотра
Quick Filters,Быстрые фильтры
Apply to current layer,Применить к текущему слою
