source,target
"Your materials will be reorganized.
Please note:
・Folder orders will be reset.
・Empty folders without any materials will be deleted.
・You may not start other applications in the Clip Studio series while this operation is in progress.

Do you want to continue?","Ваши материалы будут переупорядочены.
Обратите внимание:
・Порядок папок будет сброшен.
・Пустые папки без материалов будут удалены.
・Вы не можете запускать другие приложения серии Clip Studio во время выполнения этой операции.

Хотите продолжить?"
"Failed to organize material folders. 
Please try again.","Не удалось упорядочить папки материалов. 
Повторите попытку."
Organizing material folders...,Упорядочивание папок материалов...
Finished organizing material folders.,Упорядочивание папок материалов завершено.
"Are you sure you want to organize the works? 
*Note: Do not start other applications in the CLIP STUDIO series while this operation is in progress.","Вы действительно хотите упорядочить произведения? 
*Примечание: не запускайте другие приложения серии CLIP STUDIO во время выполнения этой операции."
"Organization of works database failed. 
Please try again.","Не удалось упорядочить базу данных произведений. 
Повторите попытку."
Organizing work database...,Упорядочивание базы данных произведений...
Organization of works database was completed.,Упорядочивание базы данных произведений завершено.
"The works database has been reconstructed, but some materials may not have been registered due to corruption of the files.","База данных произведений перестроена, но некоторые материалы могли не зарегистрироваться из-за повреждения файлов."
"Are you sure you want to organize the work labels? 
*Note: Do not start other applications in the CLIP STUDIO series while this operation is in progress.","Вы действительно хотите упорядочить метки произведений? 
*Примечание: не запускайте другие приложения серии CLIP STUDIO во время выполнения этой операции."
"Organization of work labels failed. 
Please try again.","Не удалось упорядочить метки произведений. 
Повторите попытку."
Organizing work labels...,Упорядочивание меток произведений...
Organization of work labels was completed.,Упорядочивание меток произведений завершено.
Confirmation dialogs have been reset.,Диалоги подтверждения сброшены.
"The selected work has not been completely downloaded.
 Download from the cloud?","Выбранное произведение загружено не полностью.
 Загрузить из облака?"
"The file name is too long to specify as a target for syncing. 
Enter a file name up to 100 characters.","Имя файла слишком длинное, чтобы указать его как объект синхронизации. 
Введите имя файла длиной до 100 символов."
"This work data cannot be synced as it is invalid. 
Please contact our support service for help.","Эти данные произведения недействительны, поэтому их нельзя синхронизировать. 
За помощью обратитесь в нашу службу поддержки."
Cloud syncing cannot be turned off while the Teamwork setting is on.,"Синхронизацию с облаком нельзя отключить, пока включена настройка совместной работы."
"The file name is different from the previous data. 
Do you want to reconfigure the data with this file?","Имя файла отличается от предыдущих данных. 
Хотите перенастроить данные с помощью этого файла?"
The specified file cannot be specified as it is already registered as a work.,"Указанный файл нельзя указать, так как он уже зарегистрирован как произведение."
"There is no cloud data for this item. 
It may have been deleted on another device. 


Do you want to run a recovery process to keep this data? ","Облачных данных для этого элемента нет. 
Возможно, они были удалены на другом устройстве. 


Хотите запустить процесс восстановления, чтобы сохранить эти данные? "
"This cloud data does not exist.
It may have been deleted on another device. 
Open the data and carry out the recovery process.","Этих облачных данных не существует.
Возможно, они были удалены на другом устройстве. 
Откройте данные и выполните процесс восстановления."
"This file could not be synced. 
The file has already been updated from a different device.
In order to resume syncing, the file “%s” will be overwritten with the cloud data. 

Do you want to save a backup of the edits made on this device before overwriting the file?","Не удалось синхронизировать этот файл. 
Файл уже был обновлён с другого устройства.
Чтобы возобновить синхронизацию, файл “%s” будет перезаписан облачными данными. 

Хотите сохранить резервную копию правок, сделанных на этом устройстве, перед перезаписью файла?"
"The data edited on this device was saved separately as “%s (backup)”.
 “%s” has been added to the Data Transfers list to update the file with the cloud data.

To update the original file with edits made on this device, please copy them manually from the “%s (backup)” file.

Do you want to open the backup file?","Данные, отредактированные на этом устройстве, были сохранены отдельно как “%s (резервная копия)”.
 “%s” добавлен в список передачи данных для обновления файла облачными данными.

Чтобы обновить исходный файл правками, сделанными на этом устройстве, скопируйте их вручную из файла “%s (резервная копия)”.

Хотите открыть файл резервной копии?"
"The following files could not be synced. 
The file(s) has already been updated from a different device. 
The project will be opened from File Management and saved on this device as a new project called “[file name] (backup).” The Clip Studio cloud data will be downloaded again.","Не удалось синхронизировать следующие файлы. 
Файл(ы) уже был(и) обновлён(ы) с другого устройства. 
Проект будет открыт из управления файлами и сохранён на этом устройстве как новый проект с именем “[имя файла] (резервная копия)”. Облачные данные Clip Studio будут загружены повторно."
"Could not sync this material. 
The file has already been updated from a different device. 

The material will be saved on this device as a new material called “%s Copy” 
and the Clip Studio cloud data will be downloaded again. 

Continue?","Не удалось синхронизировать этот материал. 
Файл уже был обновлён с другого устройства. 

Материал будет сохранён на этом устройстве как новый материал с именем “%s Copy”, 
а облачные данные Clip Studio будут загружены повторно. 

Продолжить?"
"The following materials could not be synced. 
The material(s) has already been updated from a different device. 
The material will be opened from Material Management and saved on this device as a new project called “(material name) Copy.” The Clip Studio cloud data will be downloaded again.","Не удалось синхронизировать следующие материалы. 
Материал(ы) уже был(и) обновлён(ы) с другого устройства. 
Материал будет открыт из управления материалами и сохранён на этом устройстве как новый проект с именем “(имя материала) Copy”. Облачные данные Clip Studio будут загружены повторно."
"Unable to open file. It may have been moved, deleted, or renamed. 
Use “Browse files” to search for the original file.","Не удалось открыть файл. Возможно, он был перемещён, удалён или переименован. 
Используйте “Обзор файлов” для поиска исходного файла."
"Unable to open file. It may have been moved, deleted, or renamed. 
Would you like to delete it from the list of projects?","Не удалось открыть файл. Возможно, он был перемещён, удалён или переименован. 
Хотите удалить его из списка проектов?"
Browse files,Обзор файлов
More information,Подробнее
Delete file,Удалить файл
"Unable to find file. 

It may have been moved, deleted, or the name may have been changed. ","Не удалось найти файл. 

Возможно, он был перемещён, удалён или его имя было изменено. "
"The document could not be recovered as another recovered work is already open. 
Close the file in any other applications and try again.","Не удалось восстановить документ, так как уже открыто другое восстановленное произведение. 
Закройте файл в других приложениях и повторите попытку."
"Be aware of the following points when using the Cloud.

-If you synchronize materials in an environment where many materials are registered,
 the first synchronization may take a long time due to the large amount of data that is being transferred.
- Please do not use this function on a mobile line.
- If target data is being operated or edited, it will be skipped.
- Transmission will start simultaneously after setting changes for [Use]. Since the transmission can influence the drawing operation of the pen,
 please wait until it is finished, if you are concerned about this.
- For further information, please also read the “User's Guide to the Cloud” in advance from the [Help] menu ([?] Button on the upper right of the screen).

 Proceed?","При использовании облака учитывайте следующие моменты.

-Если вы синхронизируете материалы в среде, где зарегистрировано много материалов,
 первая синхронизация может занять много времени из-за большого объёма передаваемых данных.
- Не используйте эту функцию через мобильную сеть.
- Если объект данных используется или редактируется, он будет пропущен.
- Передача начнётся сразу после изменения настройки на [Использовать]. Поскольку передача может влиять на работу пера при рисовании,
 дождитесь её завершения, если это вас беспокоит.
- Для получения дополнительных сведений заранее прочитайте “Руководство пользователя по облаку” в меню [Справка] (кнопка [?] в правом верхнем углу экрана).

 Продолжить?"
Start downloading now?,Начать загрузку сейчас?
Start synchronizing now?,Начать синхронизацию сейчас?
Start backup process now?,Начать процесс резервного копирования сейчас?
Settings saved.,Настройки сохранены.
"The material cannot be downloaded as it is currently being downloaded or uploaded. 
Try again later.","Материал нельзя загрузить, так как он сейчас загружается или выгружается. 
Повторите попытку позже."
Unable to download material as it has been deleted.,"Не удалось загрузить материал, так как он был удалён."
Unable to download material as it does not exist locally.,"Не удалось загрузить материал, так как он не существует локально."
Failed to download materials.,Не удалось загрузить материалы.
Failed to acquire download information. Try downloading again.,Не удалось получить сведения о загрузке. Попробуйте загрузить снова.
"The material already exists. Do you want to download again and overwrite? 
Any changes to the material title and tags that have been made in the Material palette will not be overwritten.","Материал уже существует. Хотите загрузить снова и перезаписать? 
Любые изменения названия материала и тегов, сделанные в палитре материалов, не будут перезаписаны."
"This material has been deleted and re-uploaded on Clip Studio Assets. 
Delete the material from the local location and try downloading again.","Этот материал был удалён и повторно выгружен в Clip Studio Assets. 
Удалите материал из локального расположения и попробуйте загрузить снова."
"This material catalog has been deleted and re-uploaded on Clip Studio Assets. 
Would you like to delete the local file and download the latest version?","Этот каталог материалов был удалён и повторно выгружен в Clip Studio Assets. 
Хотите удалить локальный файл и загрузить последнюю версию?"
"This file cannot be downloaded as it is currently being downloaded or uploaded. 
Please try again later.","Этот файл нельзя загрузить, так как он сейчас загружается или выгружается. 
Повторите попытку позже."
This file has already been downloaded.,Этот файл уже загружен.
Failed to download the file.,Не удалось загрузить файл.
The page cannot be displayed as your device is not connected to the Internet.,"Страницу нельзя отобразить, так как ваше устройство не подключено к Интернету."
Log in required,Требуется вход
Please enter your Clip Studio account details.,Введите данные вашей учётной записи Clip Studio.
Failed to login. Please check your email address and password is correct and try again.,Не удалось выполнить вход. Проверьте правильность адреса электронной почты и пароля и повторите попытку.
Preparing to sync materials...,Подготовка к синхронизации материалов...
Recovering...,Восстановление…
"The settings have been changed. 
Any edits will be lost if you leave this page. Do you want to proceed?","Настройки были изменены. 
Если вы покинете эту страницу, все правки будут потеряны. Хотите продолжить?"
This device,Это устройство
In this app,В этом приложении
Processing after deleting work(s)...,Обработка после удаления произведения(й)...
Adjusting the work...,Настройка произведения...
Processing after deleting materials...,Обработка после удаления материалов...
Setting up material...,Настройка материала...
"The following works have been changed on this device. 
Do you want to discard your changes and download these works from the cloud?","Следующие произведения были изменены на этом устройстве. 
Хотите отменить изменения и загрузить эти произведения из облака?"
"%d works have been changed on this device. 
Do you want to discard your changes and download these works from the cloud?","%d произведений было изменено на этом устройстве. 
Хотите отменить изменения и загрузить эти произведения из облака?"
"The following materials have been changed on this device. 
Do you want to discard your changes and download them from the cloud?","Следующие материалы были изменены на этом устройстве. 
Хотите отменить изменения и загрузить их из облака?"
"Download%d materials have been changed on this device. 
Do you want to discard your changes and download these materials from the cloud?","Загрузить%d материалов было изменено на этом устройстве. 
Хотите отменить изменения и загрузить эти материалы из облака?"
"The following works have been changed in this app. 
Do you want to discard your changes and download these works from the cloud?","Следующие произведения были изменены в этом приложении. 
Хотите отменить изменения и загрузить эти произведения из облака?"
"%d works have been changed in this app. 
Do you want to discard your changes and download these works from the cloud?","%d произведений было изменено в этом приложении. 
Хотите отменить изменения и загрузить эти произведения из облака?"
"The following materials have been changed in this app. 
Do you want to discard your changes and download these materials from the cloud?","Следующие материалы были изменены в этом приложении. 
Хотите отменить изменения и загрузить эти материалы из облака?"
"%d materials have been changed in this app. 
Do you want to discard your changes and download these materials from the cloud?","%d материалов было изменено в этом приложении. 
Хотите отменить изменения и загрузить эти материалы из облака?"
"Adding selected files to items to be synchronized.
 Would you like to proceed?","Добавление выбранных файлов к элементам для синхронизации.
 Хотите продолжить?"
"Removing selected files from items to be synchronized.
 Would you like to proceed?","Удаление выбранных файлов из элементов для синхронизации.
 Хотите продолжить?"
The selected work can not be synchronized because it is set up for collaborative work.,"Выбранное произведение нельзя синхронизировать, так как оно настроено для совместной работы."
"The selected work contains file objects. 
The location of the file object(s) will not be synchronized.
Sync anyway?","Выбранное произведение содержит файловые объекты. 
Расположение файлового(ых) объекта(ов) не будет синхронизировано.
Всё равно синхронизировать?"
"The selected work cannot be synchronized because it refers to an external file.
Please set up synchronization for this file separately.","Выбранное произведение нельзя синхронизировать, так как оно ссылается на внешний файл.
Настройте синхронизацию для этого файла отдельно."
%s (backup),%s (резервная копия)
Open backup data,Открыть резервную копию данных
"A data transfer is in progress, so you cannot log out. 
Please cancel the transfer from the Data Transfers screen.","Выполняется передача данных, поэтому вы не можете выйти. 
Отмените передачу на экране передачи данных."
Resetting additional materials...,Сброс дополнительных материалов...
"The cloud settings are being edited. 
The edits will be lost if you leave this page. Do you want to proceed?","Настройки облака сейчас редактируются. 
Если вы покинете эту страницу, правки будут потеряны. Хотите продолжить?"
"This process cannot run while transmitting data.
Please wait and try again later.","Этот процесс нельзя выполнить во время передачи данных.
Подождите и повторите попытку позже."
"This material has not been fully downloaded. 
Would you like to download it from the cloud?","Этот материал загружен не полностью. 
Хотите загрузить его из облака?"
"This material catalog has not been fully downloaded. 
Would you like to download it from the cloud?","Этот каталог материалов загружен не полностью. 
Хотите загрузить его из облака?"
"There is no Cloud data. 
It may have been deleted on another device. 
Please execute the recovery process for this data.","Облачных данных нет. 
Возможно, они были удалены на другом устройстве. 
Выполните процесс восстановления для этих данных."
"This file name cannot be used as it contains one or more of the following characters or character strings:
/ > < ? : "" \ * | ; ^ ` { } [ ] # % ~
Change the file name using one of the following methods, then sync the work.
[Return to PAINT] > [Save as]
[Return to PAINT] > [File operation/Share] > [Change name]","Это имя файла нельзя использовать, так как оно содержит один или несколько следующих символов или строк символов:
/ > < ? : "" \ * | ; ^ ` { } [ ] # % ~
Измените имя файла одним из следующих способов, затем синхронизируйте произведение.
[Вернуться в PAINT] > [Сохранить как]
[Вернуться в PAINT] > [Операции с файлом/Поделиться] > [Изменить имя]"
"The Cloud data and update information did not match. 
The data may have been edited on multiple devices before synchronization was completed.
Please execute the recovery process to preserve this data and the cloud data.","Облачные данные и сведения об обновлении не совпали. 
Возможно, данные редактировались на нескольких устройствах до завершения синхронизации.
Выполните процесс восстановления, чтобы сохранить эти данные и облачные данные."
Material catalog,Каталог материалов
Category 1,Категория 1
Failed to create material catalog.,Не удалось создать каталог материалов.
Failed to register to material catalog.,Не удалось зарегистрировать в каталоге материалов.
This material is already registered in the material catalog.,Этот материал уже зарегистрирован в каталоге материалов.
Up to 200 materials can be registered to a material catalog.,В каталоге материалов можно зарегистрировать до 200 материалов.
"Up to five character, background or 3D object materials can be registered to a material catalog.","В каталоге материалов можно зарегистрировать до пяти материалов персонажей, фонов или 3D-объектов."
The size is over 2GB.,Размер превышает 2 ГБ.
This material cannot be registered to the material catalog.,Этот материал нельзя зарегистрировать в каталоге материалов.
"This material cannot be used as it has not been fully downloaded. 
Please download it and try again.","Этот материал нельзя использовать, так как он загружен не полностью. 
Загрузите его и повторите попытку."
This material is currently being downloaded or uploaded. Please wait until this process is complete.,Этот материал сейчас загружается или выгружается. Дождитесь завершения этого процесса.
This operation is not supported. Please update Clip Studio to the latest version.,Эта операция не поддерживается. Обновите Clip Studio до последней версии.
Materials from this version cannot be added to this material catalog.,Материалы из этой версии нельзя добавить в этот каталог материалов.
"You cannot create a material catalog that contains both 3D materials and materials created in CLIP STUDIO series Ver. 1.5.0 or later, as the 3D materials will no longer be able to be edited. 
This is expected to be supported from the next version update.","Нельзя создать каталог материалов, который содержит одновременно 3D-материалы и материалы, созданные в серии CLIP STUDIO Ver. 1.5.0 или новее, так как 3D-материалы больше нельзя будет редактировать. 
Ожидается, что это будет поддерживаться со следующего обновления версии."
Adding the materials to the material catalog...,Добавление материалов в каталог материалов...
Failed to create material details window.,Не удалось создать окно сведений о материале.
"Materials from this version are not supported. 
Please update your software to the latest version.","Материалы из этой версии не поддерживаются. 
Обновите программу до последней версии."
All |*.jpg,Все |*.jpg
Thumbnail images must be 240 x 240 px.,Эскизы должны быть размером 240 x 240 пикс.
This image format is not supported.,Этот формат изображения не поддерживается.
The maximum file size for a single image is 10MB.,Максимальный размер файла для одного изображения — 10 МБ.
Open file,Открыть файл
All supported formats |*.lip;*.clip;*.cmc|CLIP STUDIO FORMAT|*.clip|CLIP STUDIO PAINT|*.lip|CLIP STUDIO PAINT page management file|*.cmc,Все поддерживаемые форматы |*.lip;*.clip;*.cmc|ФОРМАТ CLIP STUDIO|*.clip|CLIP STUDIO PAINT|*.lip|Файл управления страницами CLIP STUDIO PAINT|*.cmc
"Could not find cloud data for this item. 
It may have been deleted on another device. 
Open the material catalog information of this data and execute the recovery process.","Не удалось найти облачные данные для этого элемента. 
Возможно, они были удалены на другом устройстве. 
Откройте сведения каталога материалов для этих данных и выполните процесс восстановления."
"The material catalog containing this data conflicts with the cloud data, so it could not be opened.
Please open this material catalog in the material management screen and carry out the recovery process.","Каталог материалов, содержащий эти данные, конфликтует с облачными данными, поэтому его не удалось открыть.
Откройте этот каталог материалов на экране управления материалами и выполните процесс восстановления."
"This material is currently open in another Clip Studio application. 
Close the material in the application or quit the application.","Этот материал сейчас открыт в другом приложении Clip Studio. 
Закройте материал в приложении или закройте приложение."
"This material is currently being edited in another application. 
Finish editing and try again.","Этот материал сейчас редактируется в другом приложении. 
Завершите редактирование и повторите попытку."
"This will sync the data. 
You can check the sync status in the  \”Data Transfers"" dialog (double arrow button at the top right of the window). 

Do you want to proceed?","Это синхронизирует данные. 
Статус синхронизации можно проверить в диалоге \”Передача данных"" (кнопка с двойной стрелкой в правом верхнем углу окна). 

Хотите продолжить?"
"The information is being edited. 
Any edits will be lost if you leave this page. Do you want to proceed?","Сведения сейчас редактируются. 
Если вы покинете эту страницу, все правки будут потеряны. Хотите продолжить?"
You cannot log out while editing public information.,Вы не можете выйти во время редактирования общедоступных сведений.
"The Teamwork settings are being edited. 
The edits will be lost if you leave this page. Do you want to proceed?","Настройки совместной работы сейчас редактируются. 
Если вы покинете эту страницу, правки будут потеряны. Хотите продолжить?"
You cannot log out while editing Teamwork settings.,Вы не можете выйти во время редактирования настроек совместной работы.
No tags on the server.,На сервере нет тегов.
Failed to save materials.,Не удалось сохранить материалы.
"This acquires the latest information on the following. 
 1) Materials added to the material catalog
 2) Parts added to 3D materials


If the above changes exist, they will be updated in this window and the additional content can be downloaded. 

Do you want to proceed?","Это получает последние сведения о следующем. 
 1) Материалы, добавленные в каталог материалов
 2) Детали, добавленные к 3D-материалам


Если указанные изменения существуют, они будут обновлены в этом окне, и дополнительный контент можно будет загрузить. 

Хотите продолжить?"
Failed to acquire latest information.,Не удалось получить последние сведения.
"This material could not be found in the local location. 
This material has not been downloaded, or it may have been deleted.","Этот материал не удалось найти в локальном расположении. 
Этот материал не был загружен или мог быть удалён."
Failed to create material publishing settings window.,Не удалось создать окно настроек публикации материала.
No materials to be uploaded in the material catalog.,В каталоге материалов нет материалов для выгрузки.
The maximum upload size is 2GB.,Максимальный размер выгрузки — 2 ГБ.
"The material cannot be uploaded as it is currently being downloaded or uploaded. 
Please try again later.","Материал нельзя выгрузить, так как он сейчас загружается или выгружается. 
Повторите попытку позже."
"This material cannot be uploaded as it has not been fully downloaded from the cloud. 
Download it by selecting “Sync Now” in ""Manage Materials"" and try again.","Этот материал нельзя выгрузить, так как он загружен из облака не полностью. 
Загрузите его, выбрав “Синхронизировать сейчас” в ""Управлении материалами"", и повторите попытку."
This material cannot be updated as it is being screened.,"Этот материал нельзя обновить, так как он проходит проверку."
"The update information does not match the cloud data. 
The item may have been edited on multiple devices before syncing was completed. 
Search for the referenced material and execute the recovery process.","Сведения об обновлении не совпадают с облачными данными. 
Возможно, элемент редактировался на нескольких устройствах до завершения синхронизации. 
Найдите указанный материал и выполните процесс восстановления."
"Could not find the cloud data. 
It may have been deleted on another device. 
Search for the referenced material and execute the recovery process.","Не удалось найти облачные данные. 
Возможно, они были удалены на другом устройстве. 
Найдите указанный материал и выполните процесс восстановления."
"Cloud data has been updated from a different device. 
 Please select “Sync now” from the current material’s management screen.","Облачные данные были обновлены с другого устройства. 
 Выберите “Синхронизировать сейчас” на экране управления текущим материалом."
"This material cannot be updated as it has been updated to a new version. 
Do you want to upload it as a new material?","Этот материал нельзя обновить, так как он был обновлён до новой версии. 
Хотите выгрузить его как новый материал?"
"You cannot update this material as it has been deleted from Clip Studio Assets. 
Do you want to upload it as a new material?","Вы не можете обновить этот материал, так как он был удалён из Clip Studio Assets. 
Хотите выгрузить его как новый материал?"
"This file is shared for collaboration, so you cannot use this feature.","Этот файл предоставлен для совместной работы, поэтому вы не можете использовать эту функцию."
Leave,Покинуть
Updating...,Обновление...
Please wait.,Подождите.
Transferring data...,Передача данных...
Canceling...,Отмена...
Logging in,Выполняется вход
Processing...,Обработка...
"Download information has already been sent from the cloud.
Please finish the download and try again.","Сведения о загрузке уже отправлены из облака.
Завершите загрузку и повторите попытку."
"This will sync cloud settings for materials. 
This may take a while if there are a lot of materials.

If you do so, sync settings for synced materials will be shared on the cloud. 
If you do not, sync settings will not be carried over to the cloud, so please make sure you turn on syncing for each material.
 In either case, no materials will be deleted from the cloud.
 Would you like to align the settings?","Это синхронизирует облачные настройки для материалов. 
Это может занять некоторое время, если материалов много.

Если вы это сделаете, настройки синхронизации для синхронизированных материалов будут доступны в облаке. 
Если не сделаете, настройки синхронизации не будут перенесены в облако, поэтому обязательно включите синхронизацию для каждого материала.
 В любом случае материалы не будут удалены из облака.
 Хотите согласовать настройки?"
Moving file...,Перемещение файла...
“%s” already exists. The file was moved to a new folder called “%s”.,“%s” уже существует. Файл был перемещён в новую папку с именем “%s”.
"A folder called “%s” already exists, so the file was moved to a new folder called “%s”.","Папка с именем “%s” уже существует, поэтому файл был перемещён в новую папку с именем “%s”."
“%s” already exists. The file was downloaded to a new folder called “%s”.,“%s” уже существует. Файл был загружен в новую папку с именем “%s”.
"A folder called “%s” already exists, so the file was downloaded to a new folder called “%s”.","Папка с именем “%s” уже существует, поэтому файл был загружен в новую папку с именем “%s”."
"The files downloaded from the Clip Studio cloud have been moved to the Clip Studio app.
","Файлы, загруженные из облака Clip Studio, были перемещены в приложение Clip Studio.
"
"A problem occurred with the following file. A file or folder with the same name already exists in Clip Studio, 
so the file has been stored in a new folder.","Возникла проблема со следующим файлом. Файл или папка с таким же именем уже существует в Clip Studio, 
поэтому файл был сохранён в новой папке."
Results,Результаты
"Works downloaded to the Clip Studio cloud will be moved to Clip Studio.
This may take some time if there are a lot of files to move.
If you do not move the files, files downloaded from the Clip Studio cloud will not appear in the Open dialog.

Would you like to move the files now?","Произведения, загруженные в облако Clip Studio, будут перемещены в Clip Studio.
Это может занять некоторое время, если нужно переместить много файлов.
Если вы не переместите файлы, файлы, загруженные из облака Clip Studio, не появятся в диалоге открытия.

Хотите переместить файлы сейчас?"
Preparing to start editing,Подготовка к началу редактирования
Preparing to update,Подготовка к обновлению
Granting edit permissions,Предоставление разрешений на редактирование
Obtaining changes from the cloud,Получение изменений из облака
Sending changes to the cloud,Отправка изменений в облако
Preparing,Подготовка
"Sending cancelled. Changes have not been sent to the cloud. 
Select [Sync all pages now] in the Page Manager 
to send changes to the cloud and grant edit permissions.","Отправка отменена. Изменения не были отправлены в облако. 
Выберите [Синхронизировать все страницы сейчас] в менеджере страниц, 
чтобы отправить изменения в облако и предоставить разрешения на редактирование."
Send later,Отправить позже
Failed to load file information.,Не удалось загрузить сведения о файле.
Failed to overwrite file information.,Не удалось перезаписать сведения о файле.
Failed to obtain edit permissions.,Не удалось получить разрешения на редактирование.
Failed to load edit permissions.,Не удалось загрузить разрешения на редактирование.
Failed to save edit permissions.,Не удалось сохранить разрешения на редактирование.
Failed to secure edit permissions.,Не удалось закрепить разрешения на редактирование.
"Some edit permissions are set to other users. 
Please get edit permissions for all pages and try again.","Некоторые разрешения на редактирование назначены другим пользователям. 
Получите разрешения на редактирование для всех страниц и повторите попытку."
"Failed to grant edit permissions. 
Please try again by selecting [Sync all pages now] in the Page Manager.","Не удалось предоставить разрешения на редактирование. 
Повторите попытку, выбрав [Синхронизировать все страницы сейчас] в менеджере страниц."
Failed to obtain change information.,Не удалось получить сведения об изменениях.
Failed to obtain file data from the Clip Studio cloud.,Не удалось получить данные файла из облака Clip Studio.
You are not a member for this Teamwork project.,Вы не являетесь участником этого проекта совместной работы.
"Failed to load changes. 
Please try again by selecting [Sync all pages now] in the Page Manager.","Не удалось загрузить изменения. 
Повторите попытку, выбрав [Синхронизировать все страницы сейчас] в менеджере страниц."
"Failed to load changes to “%s”. 
Please try again by selecting “Sync all pages now” in the Page Manager.","Не удалось загрузить изменения для “%s”. 
Повторите попытку, выбрав “Синхронизировать все страницы сейчас” в менеджере страниц."
This project does not exist on the Clip Studio cloud or is not available as a Teamwork project.,Этот проект не существует в облаке Clip Studio или недоступен как проект совместной работы.
"Unknown data. 
Please update the application and try again.","Неизвестные данные. 
Обновите приложение и повторите попытку."
"There is a conflict in the file. 
Please close any open projects and use file recovery in Clip Studio to resolve the conflicts.","В файле есть конфликт. 
Закройте все открытые проекты и используйте восстановление файлов в Clip Studio для устранения конфликтов."
"File information is being edited in Clip Studio. 
Please wait and try again later.","Сведения о файле сейчас редактируются в Clip Studio. 
Подождите и повторите попытку позже."
"Edit permissions for this file are set to another user. 
Please wait and try again.","Разрешения на редактирование этого файла назначены другому пользователю. 
Подождите и повторите попытку."
The selected page could not be found on the Clip Studio cloud.,Выбранную страницу не удалось найти в облаке Clip Studio.
"The necessary data has been updated in the cloud. 
Please try again by selecting [Sync all pages now] in the Page Manager.","Необходимые данные были обновлены в облаке. 
Повторите попытку, выбрав [Синхронизировать все страницы сейчас] в менеджере страниц."
"This setting could not be changed because a page in the project is open. 
Please close all the pages and try again.","Эту настройку не удалось изменить, так как открыта страница проекта. 
Закройте все страницы и повторите попытку."
Failed to send edit history.,Не удалось отправить историю редактирования.
"This setting could not be changed because syncing for the specified file is turned off.
Please turn on syncing and try again.","Эту настройку не удалось изменить, так как синхронизация для указанного файла отключена.
Включите синхронизацию и повторите попытку."
"The document could not be recovered as another recovered work is already open. 
Please close the other work and try again. (For multi-page files, close all pages and the Page Manager. For single-page files, close the entire file.)","Не удалось восстановить документ, так как уже открыто другое восстановленное произведение. 
Закройте другое произведение и повторите попытку. (Для многостраничных файлов закройте все страницы и менеджер страниц. Для одностраничных файлов закройте весь файл.)"
"Failed to process the file because there is no Documents folder in the Internal Storage of the device. 
Please create a Documents folder directly under Internal Storage in the file manager app and try again.","Не удалось обработать файл, так как во внутреннем хранилище устройства нет папки Documents. 
Создайте папку Documents непосредственно во внутреннем хранилище в приложении файлового менеджера и повторите попытку."
Return to Clip Studio Paint,Вернуться в Clip Studio Paint
Back,Назад
Return to Clip Studio Modeler,Вернуться в Clip Studio Modeler
