source,target
"The works database has been reconstructed, but some materials may not have been registered due to corruption of the files.","База данных произведений перестроена, но некоторые материалы могли не зарегистрироваться из-за повреждения файлов."
"Are you sure you want to organize the work labels? 
*Note: Do not start other applications in the CLIP STUDIO series while this operation is in progress.",
"Organization of work labels failed. 
Please try again.",
Organizing work labels...,Упорядочивание меток произведений...
Organization of work labels was completed.,Упорядочивание меток произведений завершено.
Confirmation dialogs have been reset.,Диалоги подтверждения сброшены.
"The selected work has not been completely downloaded.
 Download from the cloud?",
"The file name is too long to specify as a target for syncing. 
Enter a file name up to 100 characters.",
"This work data cannot be synced as it is invalid. 
Please contact our support service for help.",
Cloud syncing cannot be turned off while the Teamwork setting is on.,"Синхронизацию с облаком нельзя отключить, пока включена настройка совместной работы."
"The file name is different from the previous data. 
Do you want to reconfigure the data with this file?",
The specified file cannot be specified as it is already registered as a work.,"Указанный файл нельзя указать, так как он уже зарегистрирован как произведение."
"There is no cloud data for this item. 
It may have been deleted on another device. 


Do you want to run a recovery process to keep this data? ",
"This cloud data does not exist.
It may have been deleted on another device. 
Open the data and carry out the recovery process.",
"This file could not be synced. 
The file has already been updated from a different device.
In order to resume syncing, the file “%s” will be overwritten with the cloud data. 

Do you want to save a backup of the edits made on this device before overwriting the file?",
"The data edited on this device was saved separately as “%s (backup)”.
 “%s” has been added to the Data Transfers list to update the file with the cloud data.

To update the original file with edits made on this device, please copy them manually from the “%s (backup)” file.

Do you want to open the backup file?",
"The following files could not be synced. 
The file(s) has already been updated from a different device. 
The project will be opened from File Management and saved on this device as a new project called “[file name] (backup).” The Clip Studio cloud data will be downloaded again.",
"Could not sync this material. 
The file has already been updated from a different device. 

The material will be saved on this device as a new material called “%s Copy” 
and the Clip Studio cloud data will be downloaded again. 

Continue?",
"The following materials could not be synced. 
The material(s) has already been updated from a different device. 
The material will be opened from Material Management and saved on this device as a new project called “(material name) Copy.” The Clip Studio cloud data will be downloaded again.",
"Unable to open file. It may have been moved, deleted, or renamed. 
Use “Browse files” to search for the original file.",
"Unable to open file. It may have been moved, deleted, or renamed. 
Would you like to delete it from the list of projects?",
Browse files,Обзор файлов
More information,Подробнее
Delete file,Удалить файл
"Unable to find file. 

It may have been moved, deleted, or the name may have been changed. ",
"The document could not be recovered as another recovered work is already open. 
Close the file in any other applications and try again.",
"Be aware of the following points when using the Cloud.

-If you synchronize materials in an environment where many materials are registered,
 the first synchronization may take a long time due to the large amount of data that is being transferred.
- Please do not use this function on a mobile line.
- If target data is being operated or edited, it will be skipped.
- Transmission will start simultaneously after setting changes for [Use]. Since the transmission can influence the drawing operation of the pen,
 please wait until it is finished, if you are concerned about this.
- For further information, please also read the “User's Guide to the Cloud” in advance from the [Help] menu ([?] Button on the upper right of the screen).

 Proceed?",
Start downloading now?,Начать загрузку сейчас?
Start synchronizing now?,Начать синхронизацию сейчас?
Start backup process now?,Начать процесс резервного копирования сейчас?
Settings saved.,Настройки сохранены.
"The material cannot be downloaded as it is currently being downloaded or uploaded. 
Try again later.",
Unable to download material as it has been deleted.,"Не удалось загрузить материал, так как он был удалён."
Unable to download material as it does not exist locally.,"Не удалось загрузить материал, так как он не существует локально."
Failed to download materials.,Не удалось загрузить материалы.
Failed to acquire download information. Try downloading again.,Не удалось получить сведения о загрузке. Попробуйте загрузить снова.
"The material already exists. Do you want to download again and overwrite? 
Any changes to the material title and tags that have been made in the Material palette will not be overwritten.",
"This material has been deleted and re-uploaded on Clip Studio Assets. 
Delete the material from the local location and try downloading again.",
"This material catalog has been deleted and re-uploaded on Clip Studio Assets. 
Would you like to delete the local file and download the latest version?",
"This file cannot be downloaded as it is currently being downloaded or uploaded. 
Please try again later.",
This file has already been downloaded.,Этот файл уже загружен.
Failed to download the file.,Не удалось загрузить файл.
The page cannot be displayed as your device is not connected to the Internet.,"Страницу нельзя отобразить, так как ваше устройство не подключено к Интернету."
Log in required,Требуется вход
Please enter your Clip Studio account details.,Введите данные вашей учётной записи Clip Studio.
Failed to login. Please check your email address and password is correct and try again.,Не удалось выполнить вход. Проверьте правильность адреса электронной почты и пароля и повторите попытку.
Preparing to sync materials...,Подготовка к синхронизации материалов...
Recovering...,Восстановление…
"The settings have been changed. 
Any edits will be lost if you leave this page. Do you want to proceed?",
This device,Это устройство
In this app,В этом приложении
Processing after deleting work(s)...,Обработка после удаления произведения(й)...
Adjusting the work...,Настройка произведения...
Processing after deleting materials...,Обработка после удаления материалов...
Setting up material...,Настройка материала...
"The following works have been changed on this device. 
Do you want to discard your changes and download these works from the cloud?",
"%d works have been changed on this device. 
Do you want to discard your changes and download these works from the cloud?",
"The following materials have been changed on this device. 
Do you want to discard your changes and download them from the cloud?",
"Download%d materials have been changed on this device. 
Do you want to discard your changes and download these materials from the cloud?",
"The following works have been changed in this app. 
Do you want to discard your changes and download these works from the cloud?",
"%d works have been changed in this app. 
Do you want to discard your changes and download these works from the cloud?",
"The following materials have been changed in this app. 
Do you want to discard your changes and download these materials from the cloud?",
"%d materials have been changed in this app. 
Do you want to discard your changes and download these materials from the cloud?",
"Adding selected files to items to be synchronized.
 Would you like to proceed?",
"Removing selected files from items to be synchronized.
 Would you like to proceed?",
The selected work can not be synchronized because it is set up for collaborative work.,"Выбранное произведение нельзя синхронизировать, так как оно настроено для совместной работы."
"The selected work contains file objects. 
The location of the file object(s) will not be synchronized.
Sync anyway?",
"The selected work cannot be synchronized because it refers to an external file.
Please set up synchronization for this file separately.",
%s (backup),%s (резервная копия)
Open backup data,Открыть резервную копию данных
"A data transfer is in progress, so you cannot log out. 
Please cancel the transfer from the Data Transfers screen.",
Resetting additional materials...,Сброс дополнительных материалов...
"The cloud settings are being edited. 
The edits will be lost if you leave this page. Do you want to proceed?",
"This process cannot run while transmitting data.
Please wait and try again later.",
"This material has not been fully downloaded. 
Would you like to download it from the cloud?",
"This material catalog has not been fully downloaded. 
Would you like to download it from the cloud?",
"There is no Cloud data. 
It may have been deleted on another device. 
Please execute the recovery process for this data.",
"This file name cannot be used as it contains one or more of the following characters or character strings:
/ > < ? : "" \ * | ; ^ ` { } [ ] # % ~
Change the file name using one of the following methods, then sync the work.
[Return to PAINT] > [Save as]
[Return to PAINT] > [File operation/Share] > [Change name]",
"The Cloud data and update information did not match. 
The data may have been edited on multiple devices before synchronization was completed.
Please execute the recovery process to preserve this data and the cloud data.",
Material catalog,Каталог материалов
Category 1,Категория 1
Failed to create material catalog.,Не удалось создать каталог материалов.
Failed to register to material catalog.,Не удалось зарегистрировать в каталоге материалов.
This material is already registered in the material catalog.,Этот материал уже зарегистрирован в каталоге материалов.
Up to 200 materials can be registered to a material catalog.,В каталоге материалов можно зарегистрировать до 200 материалов.
"Up to five character, background or 3D object materials can be registered to a material catalog.","В каталоге материалов можно зарегистрировать до пяти материалов персонажей, фонов или 3D-объектов."
The size is over 2GB.,Размер превышает 2 ГБ.
This material cannot be registered to the material catalog.,Этот материал нельзя зарегистрировать в каталоге материалов.
"This material cannot be used as it has not been fully downloaded. 
Please download it and try again.",
This material is currently being downloaded or uploaded. Please wait until this process is complete.,Этот материал сейчас загружается или выгружается. Дождитесь завершения этого процесса.
This operation is not supported. Please update Clip Studio to the latest version.,Эта операция не поддерживается. Обновите Clip Studio до последней версии.
Materials from this version cannot be added to this material catalog.,Материалы из этой версии нельзя добавить в этот каталог материалов.
"You cannot create a material catalog that contains both 3D materials and materials created in CLIP STUDIO series Ver. 1.5.0 or later, as the 3D materials will no longer be able to be edited. 
This is expected to be supported from the next version update.",
Adding the materials to the material catalog...,Добавление материалов в каталог материалов...
Failed to create material details window.,Не удалось создать окно сведений о материале.
"Materials from this version are not supported. 
Please update your software to the latest version.",
All |*.jpg,Все |*.jpg
Thumbnail images must be 240 x 240 px.,Эскизы должны быть размером 240 x 240 пикс.
This image format is not supported.,Этот формат изображения не поддерживается.
The maximum file size for a single image is 10MB.,Максимальный размер файла для одного изображения — 10 МБ.
Open file,Открыть файл
All supported formats |*.lip;*.clip;*.cmc|CLIP STUDIO FORMAT|*.clip|CLIP STUDIO PAINT|*.lip|CLIP STUDIO PAINT page management file|*.cmc,Все поддерживаемые форматы |*.lip;*.clip;*.cmc|ФОРМАТ CLIP STUDIO|*.clip|CLIP STUDIO PAINT|*.lip|Файл управления страницами CLIP STUDIO PAINT|*.cmc
"Could not find cloud data for this item. 
It may have been deleted on another device. 
Open the material catalog information of this data and execute the recovery process.",
"The material catalog containing this data conflicts with the cloud data, so it could not be opened.
Please open this material catalog in the material management screen and carry out the recovery process.",
"This material is currently open in another Clip Studio application. 
Close the material in the application or quit the application.",
"This material is currently being edited in another application. 
Finish editing and try again.",
"This will sync the data. 
You can check the sync status in the  \”Data Transfers"" dialog (double arrow button at the top right of the window). 

Do you want to proceed?",
"The information is being edited. 
Any edits will be lost if you leave this page. Do you want to proceed?",
You cannot log out while editing public information.,Вы не можете выйти во время редактирования общедоступных сведений.
"The Teamwork settings are being edited. 
The edits will be lost if you leave this page. Do you want to proceed?",
You cannot log out while editing Teamwork settings.,Вы не можете выйти во время редактирования настроек совместной работы.
No tags on the server.,На сервере нет тегов.
Failed to save materials.,Не удалось сохранить материалы.
"This acquires the latest information on the following. 
 1) Materials added to the material catalog
 2) Parts added to 3D materials


If the above changes exist, they will be updated in this window and the additional content can be downloaded. 

Do you want to proceed?",
Failed to acquire latest information.,Не удалось получить последние сведения.
"This material could not be found in the local location. 
This material has not been downloaded, or it may have been deleted.",
Failed to create material publishing settings window.,Не удалось создать окно настроек публикации материала.
No materials to be uploaded in the material catalog.,В каталоге материалов нет материалов для выгрузки.
The maximum upload size is 2GB.,Максимальный размер выгрузки — 2 ГБ.
"The material cannot be uploaded as it is currently being downloaded or uploaded. 
Please try again later.",
"This material cannot be uploaded as it has not been fully downloaded from the cloud. 
Download it by selecting “Sync Now” in ""Manage Materials"" and try again.",
This material cannot be updated as it is being screened.,"Этот материал нельзя обновить, так как он проходит проверку."
"The update information does not match the cloud data. 
The item may have been edited on multiple devices before syncing was completed. 
Search for the referenced material and execute the recovery process.",
"Could not find the cloud data. 
It may have been deleted on another device. 
Search for the referenced material and execute the recovery process.",
"Cloud data has been updated from a different device. 
 Please select “Sync now” from the current material’s management screen.",
"This material cannot be updated as it has been updated to a new version. 
Do you want to upload it as a new material?",
"You cannot update this material as it has been deleted from Clip Studio Assets. 
Do you want to upload it as a new material?",
"This file is shared for collaboration, so you cannot use this feature.","Этот файл предоставлен для совместной работы, поэтому вы не можете использовать эту функцию."
Leave,Покинуть
Updating...,Обновление...
Please wait.,Подождите.
Transferring data...,Передача данных...
Canceling...,Отмена...
Logging in,Выполняется вход
Processing...,Обработка...
"Download information has already been sent from the cloud.
Please finish the download and try again.",
"This will sync cloud settings for materials. 
This may take a while if there are a lot of materials.

If you do so, sync settings for synced materials will be shared on the cloud. 
If you do not, sync settings will not be carried over to the cloud, so please make sure you turn on syncing for each material.
 In either case, no materials will be deleted from the cloud.
 Would you like to align the settings?",
Moving file...,Перемещение файла...
“%s” already exists. The file was moved to a new folder called “%s”.,“%s” уже существует. Файл был перемещён в новую папку с именем “%s”.
"A folder called “%s” already exists, so the file was moved to a new folder called “%s”.","Папка с именем “%s” уже существует, поэтому файл был перемещён в новую папку с именем “%s”."
“%s” already exists. The file was downloaded to a new folder called “%s”.,“%s” уже существует. Файл был загружен в новую папку с именем “%s”.
"A folder called “%s” already exists, so the file was downloaded to a new folder called “%s”.","Папка с именем “%s” уже существует, поэтому файл был загружен в новую папку с именем “%s”."
"The files downloaded from the Clip Studio cloud have been moved to the Clip Studio app.
",
"A problem occurred with the following file. A file or folder with the same name already exists in Clip Studio, 
so the file has been stored in a new folder.",
Results,Результаты
"Works downloaded to the Clip Studio cloud will be moved to Clip Studio.
This may take some time if there are a lot of files to move.
If you do not move the files, files downloaded from the Clip Studio cloud will not appear in the Open dialog.

Would you like to move the files now?",
Preparing to start editing,Подготовка к началу редактирования
Preparing to update,Подготовка к обновлению
Granting edit permissions,Предоставление разрешений на редактирование
Obtaining changes from the cloud,Получение изменений из облака
Sending changes to the cloud,Отправка изменений в облако
Preparing,Подготовка
"Sending cancelled. Changes have not been sent to the cloud. 
Select [Sync all pages now] in the Page Manager 
to send changes to the cloud and grant edit permissions.",
Send later,Отправить позже
Failed to load file information.,Не удалось загрузить сведения о файле.
Failed to overwrite file information.,Не удалось перезаписать сведения о файле.
Failed to obtain edit permissions.,Не удалось получить разрешения на редактирование.
Failed to load edit permissions.,Не удалось загрузить разрешения на редактирование.
Failed to save edit permissions.,Не удалось сохранить разрешения на редактирование.
Failed to secure edit permissions.,Не удалось закрепить разрешения на редактирование.
"Some edit permissions are set to other users. 
Please get edit permissions for all pages and try again.",
"Failed to grant edit permissions. 
Please try again by selecting [Sync all pages now] in the Page Manager.",
Failed to obtain change information.,Не удалось получить сведения об изменениях.
Failed to obtain file data from the Clip Studio cloud.,Не удалось получить данные файла из облака Clip Studio.
You are not a member for this Teamwork project.,Вы не являетесь участником этого проекта совместной работы.
"Failed to load changes. 
Please try again by selecting [Sync all pages now] in the Page Manager.",
"Failed to load changes to “%s”. 
Please try again by selecting “Sync all pages now” in the Page Manager.",
This project does not exist on the Clip Studio cloud or is not available as a Teamwork project.,Этот проект не существует в облаке Clip Studio или недоступен как проект совместной работы.
"Unknown data. 
Please update the application and try again.",
"There is a conflict in the file. 
Please close any open projects and use file recovery in Clip Studio to resolve the conflicts.",
"File information is being edited in Clip Studio. 
Please wait and try again later.",
"Edit permissions for this file are set to another user. 
Please wait and try again.",
The selected page could not be found on the Clip Studio cloud.,Выбранную страницу не удалось найти в облаке Clip Studio.
"The necessary data has been updated in the cloud. 
Please try again by selecting [Sync all pages now] in the Page Manager.",
"This setting could not be changed because a page in the project is open. 
Please close all the pages and try again.",
Failed to send edit history.,Не удалось отправить историю редактирования.
"This setting could not be changed because syncing for the specified file is turned off.
Please turn on syncing and try again.",
"The document could not be recovered as another recovered work is already open. 
Please close the other work and try again. (For multi-page files, close all pages and the Page Manager. For single-page files, close the entire file.)",
"Failed to process the file because there is no Documents folder in the Internal Storage of the device. 
Please create a Documents folder directly under Internal Storage in the file manager app and try again.",
Return to Clip Studio Paint,Вернуться в Clip Studio Paint
Back,Назад
Return to Clip Studio Modeler,Вернуться в Clip Studio Modeler
"The Teamwork setting has been turned off for this project, so available operations are limited.","Настройка совместной работы отключена для этого проекта, поэтому доступные операции ограничены."
Please update the application to the latest version.,Обновите приложение до последней версии.
"This will repair corrupted data related to the Clip Studio cloud.
Continue?",
Please update the app to the latest version to use this feature.,"Обновите приложение до последней версии, чтобы использовать эту функцию."
"Cloud syncing has been temporarily paused.
 Please log in to resume.",
"Teamwork project syncing has been temporarily paused.
Please log in to resume syncing.",
Open FAQ,Открыть часто задаваемые вопросы
https://license-account-us.celsys.co.jp/hb.php,
https://www.clipstudio.net/en/dl,
https://gd.clip-studio.com/gd?id=servererror-en-us,
https://us-lic.celsys.co.jp/gd/index.php?id=csp-contact-en,
Download latest version,Загрузить последнюю версию
Select All,Выделить всё
Switch syncing status,Переключить статус синхронизации
Sync all selected,Синхронизировать все выбранные
Select sorting method for works.,Выберите метод сортировки для произведений.
You can sort results in ascending or descending order.,Вы можете сортировать результаты по возрастанию или по убыванию.
Error processing multiple works,Ошибка при обработке нескольких произведений
Affected works,Затронутые произведения
"Failed to start processing some works.
 Please check the following error information.",
Open in Clip Studio Paint,Открыть в Clip Studio Paint
Open in ACTION,Открыть в ACTION
Open in Clip Studio Modeler,Открыть в Clip Studio Modeler
Export Fanzine for Printing,Экспортировать фанзин для печати
Export EPUB,Экспортировать EPUB
Print output at corner store,Печать в копировальном центре
Send to Clip Studio SHARE,Отправить в Clip Studio SHARE
Send to Clip Studio SHARE (webtoon),Отправить в Clip Studio SHARE (вебтун)
Export Wacom Yuify micromark,Экспортировать микрометку Wacom Yuify
Switch syncing,Переключить синхронизацию
Syncing On,Синхронизация включена
Syncing Off,Синхронизация отключена
Sync now,Синхронизировать сейчас
Favorites,Избранное
Add to Favorites,Добавить в избранное
Delete from Favorites,Удалить из избранного
Open folder,Открыть папку
File information,Сведения о файле
View,Вид
Thumbnails,Эскизы
List,Список
Sorting,Сортировка
Sort ascending,Сортировать по возрастанию
Sort descending,Сортировать по убыванию
Show/hide columns,Показать/скрыть столбцы
Delete,Удалить
Share file,Поделиться файлом
Change title,Изменить название
Change save location label for file,Изменить метку расположения сохранения для файла
Select sorting method for materials.,Выберите метод сортировки для материалов.
Error processing multiple materials,Ошибка при обработке нескольких материалов
Affected materials,Затронутые материалы
"Failed to start processing some materials.
 Please check the following error information.",
Created material catalogs,Созданные каталоги материалов
Downloaded material catalogs,Загруженные каталоги материалов
Get latest information from Assets,Получить последние сведения из Assets
Material information,Сведения о материале
Large thumbnails,Крупные эскизы
Small thumbnails,Мелкие эскизы
Change save folder for materials,Изменить папку сохранения для материалов
New material catalog,Новый каталог материалов
Title,Название
Date added,Дата добавления
Date modified,Дата изменения
Date synced,Дата синхронизации
Search materials in material catalog,Поиск материалов в каталоге материалов
Manage material catalog,Управление каталогом материалов
Material catalog information,Сведения о каталоге материалов
Editing,Редактирование
New materials added,Добавлены новые материалы
Non-downloaded materials available,Доступны незагруженные материалы
Additions｜Materials to be Screened,Дополнения｜Материалы для проверки
Additions｜Materials with Incomplete Applications,Дополнения｜Материалы с незавершёнными заявками
Category,Категория
Add,Добавить
Not submitted,Не отправлено
Submitted,Отправлено
Needs screening,Требуется проверка
Not uploaded,Не выгружено
Uploading...,Отправка...
Submit for screening,Отправить на проверку
Screening,Открытая экспертиза
Delete from list,Удалить из списка
Please wait a moment.,Подождите немного.
"マスターコンテンツ実データがアップロードできませんでした。
通信状況を確認し、時間を置いて再度お試しください。",
"マスターコンテンツ設定プロパティデータがアップロードできませんでした。
通信状況を確認し、時間を置いて再度お試しください。",
Registering master content,Регистрация мастер-контента
Creating master content data,Создание данных мастер-контента
"Do you want to start exporting data for “%s“?
",
Failed to create master content data.,Не удалось создать данные мастер-контента.
"Failed to create draft ID.
%d
%s",
"Failed to retrieve URL for upload.
%d
%s
%s",
Failed to upload master content data.,Не удалось выгрузить данные мастер-контента.
Failed to upload master content actual data.%d,Не удалось выгрузить фактические данные мастер-контента.%d
Failed to upload master content settings properties data.%d,Не удалось выгрузить данные свойств настроек мастер-контента.%d
"Failed to register master content data.
%d
%s",
"Failed to register master content actual data.
%d
%s",
"Failed to register master content settings properties data.
%d
%s",
"Failed to register master content.
%d
%s",
Unknown server error,Неизвестная ошибка сервера
Output,Вывод
Check details and export,Проверить сведения и экспортировать
/allow/gd.html?page=csp-activation-codes:%s,
"You have almost reached the maximum cloud storage.
You can apply for additional cloud storage to share more of your projects and materials.

Would you like to apply for extra cloud storage?",
"You have almost reached the maximum cloud storage.
You can apply for additional cloud storage to share more of your projects and materials.

Would you like to learn how to apply for extra cloud storage?",
"You have reached the maximum cloud storage.
You can still download your uploaded data, but you can apply for additional cloud storage to sync more files or back up your app settings.
Would you like to apply for extra cloud storage?",
"You have reached the maximum cloud storage.
You can still download your uploaded data, but you can apply for additional cloud storage to continue syncing files or back up your app settings.

Would you like to learn how to apply for extra cloud storage?",
"You have reached the maximum cloud storage.
To continue syncing files or back up your app settings, please see how to reduce the storage used.

Would you like to learn how to reduce cloud storage being used?",
Learn more,Подробнее
Not now,Не сейчас
Apply,Применить
Start drawing,Начать рисование
Menu,Меню
View Information,Просмотреть сведения
"Connecting to online services not possible.
Clip Studio Paint and offline functions can still be used.",
"We apologize for any inconvenience caused.
Please check below for status updates.",
Organize Material Database,Упорядочить базу данных материалов
Organize Material Folders,Упорядочить папки материалов
Reset additional materials,Сбросить дополнительные материалы
Overwrite any conflicting materials with cloud data,Перезаписать любые конфликтующие материалы облачными данными
Restore brush tip and texture settings,Восстановить настройки кончика кисти и текстуры
Organize Works,Упорядочить произведения
Organize Work Labels,Упорядочить метки произведений
Restore cloud data,Восстановить облачные данные
Move user data folder,Переместить папку пользовательских данных
Open folder with Clip Studio Paint backup data,Открыть папку с резервными данными Clip Studio Paint
Restore confirmation dialogs,Восстановить диалоги подтверждения
Verify Plug-in License,Проверить лицензию подключаемого модуля
Dark mode,Тёмный режим
Use existing license,Использовать существующую лицензию
Privacy Settings,Настройки конфиденциальности
Location of Materials,Расположение материалов
Convert IllustStudio Material,Преобразовать материал IllustStudio
Convert ComicStudio 4.0 Material,Преобразовать материал ComicStudio 4.0
Convert Tone Material Collection (Sold Separately),Преобразовать коллекцию тоновых материалов (продаётся отдельно)
Download additional materials now,Загрузить дополнительные материалы сейчас
Download additional materials at launch,Загружать дополнительные материалы при запуске
Maintenance Menu,Меню обслуживания
Version %s,Версия %s
Draw,Рисование
Home,Главная
Projects,Произведения
Notices,Уведомления
Manage Materials,Управление материалами
Use Activation Code,Использовать код активации
Title: %s,Название: %s
Content ID: %s,ID контента: %s
Pause,Пауза
Resume,Возобновить
Stop,Стоп
Start,Начать
Details,Подробнее
How to resolve,Как устранить
Preparing ...,Подготовка ...
Waiting for download,Ожидание загрузки
Retrieving information...,Получение сведений...
Downloading...,Загрузка...
Checking for updates...,Проверка обновлений...
Transmitting data...,Передача данных...
Creating upload file...,Создание файла для выгрузки...
Creating transmit data...,Создание данных для передачи...
Process successful.,Процесс выполнен успешно.
Successfully downloaded.,Загрузка выполнена успешно.
Successfully uploaded.,Выгрузка выполнена успешно.
Restoration complete.,Восстановление завершено.
No updates.,Обновлений нет.
Download failed. Please check the connectivity of your device.,Не удалось выполнить загрузку. Проверьте подключение вашего устройства.
Failed to confirm. Please check the connectivity of your device.,Не удалось подтвердить. Проверьте подключение вашего устройства.
Failed to update. Please check the connectivity of your device.,Не удалось выполнить обновление. Проверьте подключение вашего устройства.
Process failed.,Не удалось выполнить процесс.
Faulty data has been found.,Обнаружены неисправные данные.
%s : error code = %d,%s : код ошибки = %d
Process was canceled.,Процесс был отменён.
Paused,Приостановлено
Preparing to pause...,Подготовка к приостановке...
Preparing to stop...,Подготовка к остановке...
Registering...,Регистрация...
Unzipping...,Распаковка...
Upload,Отправить
Upload work,Выгрузить произведение
Upload material,Выгрузить материал
Check additional materials in the cloud,Проверить дополнительные материалы в облаке
Upload “%s”,Выгрузить “%s”
Upload material for application settings,Выгрузить материал для настроек приложения
Download,Скачать
Download work,Загрузить произведение
Download material,Загрузить материал
Download additional materials,Загрузить дополнительные материалы
Download “%s”,Загрузить “%s”
Restore app settings (Materials),Восстановить настройки приложения (материалы)
Restore app settings,Восстановить настройки приложения
%s (%s Finished),%s (%s завершено)
Repairing data...,Восстановление данных...
Done,Готово
Failed to save locally at the time of the additional request.,Не удалось сохранить локально во время дополнительного запроса.
"Unable to completed all of synchronization, because the Cloud capacity is insufficient.","Не удалось завершить всю синхронизацию, так как недостаточно объёма облака."
Could not complete sync because there is not enough cloud storage space. Please contact the Teamwork project owner.,"Не удалось завершить синхронизацию, так как недостаточно места в облачном хранилище. Обратитесь к владельцу проекта совместной работы."
"Could not complete sync because there is not enough cloud storage space. 
Please contact the Teamwork project owner.",
Cloud syncing has been temporarily paused. Please log in to resume syncing.,"Синхронизация с облаком временно приостановлена. Войдите, чтобы возобновить синхронизацию."
Failed to upload materials for app settings.,Не удалось выгрузить материалы для настроек приложения.
The Cloud side has been updated. Please run the synchronization now and update to the latest version..,Сторона облака была обновлена. Запустите синхронизацию сейчас и обновитесь до последней версии..
Sync failed because the material does not have a title.,"Не удалось выполнить синхронизацию, так как у материала нет названия."
Unable to synchronize as an external file is referenced.,"Не удалось синхронизировать, так как имеется ссылка на внешний файл."
Work data cannot be synchronized as it is invalid. Please contact our user support.,"Данные произведения недействительны, поэтому их нельзя синхронизировать. Обратитесь в нашу службу поддержки пользователей."
"Unable to download file as it is currently open. Please close all related works and pages, and then try again.","Не удалось загрузить файл, так как он сейчас открыт. Закройте все связанные произведения и страницы, затем повторите попытку."
"Unable to upload file as it is currently open. Please close all related works and pages, and then try again.","Не удалось выгрузить файл, так как он сейчас открыт. Закройте все связанные произведения и страницы, затем повторите попытку."
The cloud is waiting for updates. Please wait a moment and try again.,Облако ожидает обновлений. Подождите немного и повторите попытку.
"This operation cannot be run as the software is out of date. 
Update the software to the latest version and try again.",
"Can not apply old backup data. 
Please select backup data from the latest software version.",
Clear Completed Transfers,Очистить завершённые передачи
"There is an ongoing transmission.
Please try again in a few moments.",
An application backup cannot be created if CLIP STUDIO Series applications are not installed or have never been launched on the computer.,"Резервную копию приложения нельзя создать, если приложения серии CLIP STUDIO не установлены или никогда не запускались на компьютере."
Failed to obtain settings file. The software may currently be in use.,"Не удалось получить файл настроек. Программа, возможно, сейчас используется."
"There is not enough cloud storage space, so the settings file could not be uploaded.","Недостаточно места в облачном хранилище, поэтому файл настроек не удалось выгрузить."
CLIP Cloud under maintenance.,CLIP Cloud на техническом обслуживании.
%s : %s,
%s : %s : Error code = %d,%s : %s : Код ошибки = %d
Cloud data is being updated. Please wait a moment.,Облачные данные обновляются. Подождите немного.
Failed to retrieve data from cloud. Please check the connectivity of your device.,Не удалось получить данные из облака. Проверьте подключение вашего устройства.
